Category,Tender Description,Advertised,Cancelled
Disposals: General,"REQUEST FOR PROPOSAL FOR APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR THE REMOVAL AND DISPOSAL OF OFFICE, NETWORK, COMPUTER EQUIPMENT AND FURNITURE & FITTINGS FOR A PERIOD OF FIVE (5) YEARS",02/09/2025,[object Object]
"Office administrative, office support and other business support activities",PLACEMENT OF AN ADVERT FOR THE AUDIT AND RISK COMMITTEE CHAIRPERSON VACANCY ON SUNDAY TIMES.,02/09/2025,[object Object]
Repair and installation of machinery and equipment,"FOR THE PROVISION OF STS ALIMAK LIFT REPAIRS – QC01, QC02, QC03, QC04, QC05, QC06, QC07 TRANSNET SOC LTD (REG. NO. 1990/000900/30) OPERATING AS TRANSNET PORT TERMINALS AT THE PORT OF DURBAN PIER 1",02/09/2025,[object Object]
Telecommunications,"SUPPLY, INSTALLATION, REPAIR AND MAINTENANCE OF CCTV SECURITY SYSTEMS RELATED HARDWARE (INCLUDING INFRASTRUCTURE) AND SOFTWARE (INCLUDING CONFIGURATION) IN THE PORT OF SALDANHA FOR A PERIOD OF SIX (06) MONTHS.",02/09/2025,[object Object]
Supplies: General,SUPPLY AND DELIVERY OF SEEDS FOR 2025/2026 LED PROJECTS,02/09/2025,[object Object]
Manufacture of electrical equipment,Cancellation of supply and delivery Breakers CCT LV 50A;63A;40A 230V 5KA Pole Top Box,01/09/2025,[object Object]
Construction,Department of Health: St Andrew’s Hospital: Eradication of Asbestos and associated roofing works: 5GB or higher,29/08/2025,[object Object]
Other service activities,"APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE LANGUAGE PERCENTAGE COUNT SERVICES FOR FILMS SUBMITTED INTO THE ACADEMY OF MOTION PICTURES ARTS AND SCIENCES ACADEMY, OSCARS, SOUTH AFRICAN SELECTION PROCESS",29/08/2025,[object Object]
Services: Professional,THE ROAD ACCIDENT FUND (RAF) REQUIRES A SUITABLE SERVICE PROVIDER FOR PROVISION OF CLEANING SERVICES AT THE ROAD ACCIDENT FUND (RAF) FOR ALL OFFICES FOR A PERIOD OF FIVE (5) YEARS.,29/08/2025,[object Object]
Supplies: General,REQUEST FOR QUOTATION (RFQ) FOR SUPPLY AND DELIVERY OF VARIOUS CONSUMABLES AND MATERIALS REQUIRED TO CONTROL VEGETATION IN THE GAUTENG REGION.,28/08/2025,[object Object]
Construction,Electrification Work MWP2503DX,28/08/2025,[object Object]
"Manufacture of fabricated metal products, except machinery and equipment","The Road Accident Fund (RAF) wishes to appoint a service provider to supply, deliver and install Steel Fire Cabinet.",28/08/2025,[object Object]
Services: General,6000079660 - Manhole,28/08/2025,[object Object]
Information and communication,APPOINTMENT OF A SERVICE PROVIDER TO CONFIGURE DEPARTMENT OF PUBLIC SERVICE AND ADMINISTRATION SHAREPOINT ONLINE TO ALIGN WITH THE KNOWLEDGE MANAGEMENT SYSTEM REQUIREMENTS FOR A PERIOD OF 12 MONTHS.,27/08/2025,[object Object]
Supplies: General,Notification of award for The Supply and Delivery of Flir T865 Camera with dual field of view lens 14 and 24 degrees,27/08/2025,[object Object]
Other service activities,"The Road Accident Fund (RAF) wishes to appoint a service provider to measure and evaluate indoor air, water quality and lux levels on block A, F and C.",27/08/2025,[object Object]
Security and investigation activities,PROVISION OF TACTICAL SECURITY SERVICES AT TWEEFONTEIN AND BROOKLANDS PLANTATION FOR A PERIOD OF SIX (6) MONTHS,27/08/2025,[object Object]
Other service activities,RFQ 201796: APPOINTMENT OF SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF DIMENSIONS GAUGES,27/08/2025,[object Object]
Services: General,"Appointment of a panel of service providers for the supply, delivery and offload of Agricultural crop production inputs for various projects within the province of KwaZulu-Natal for a period of thirty-six (36) months.",26/08/2025,[object Object]
Services: General,"Appointment of a panel of service providers for the supply, delivery and offload of livestock production inputs for various projects within the province of KwaZulu-Natal for a period of thirty-six (36) months.",26/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),Re-Advert: Appointment of a service provider to Deep Clean at the Joburg Market Precinct,26/08/2025,[object Object]
Services: Professional,The Road Accident Fund (RAF) wishes to appoint a service provider to provide forensic engineering services for the Cape Town office.,26/08/2025,[object Object]
Other manufacturing,RFQJW090HM25- Electrical Spares,26/08/2025,[object Object]
Services: General,Appointment of a qualified plumber to render plumbing services including emergencies at Bellville Regional Office for period of three years.,26/08/2025,[object Object]
Construction,SUPPLY AND INSTALLATION OF SECURITY FENCING FOR THE UBUNTU LOCAL MUNICIPALITY (VICTORIA WEST AND RICHMOND),26/08/2025,[object Object]
Real estate activities,APPOINTMENT OF SERVICE PROVIDERS FOR THE VALUATION OF TRANSNET SOC LTD OWNED PROPERTIES FOR A PERIOD OF SIX (6) YEARS ON AN AS AND WHEN REQUIRED BASIS.,26/08/2025,[object Object]
Activities of head offices; management consultancy activities,Reactivation: Appointment of an experienced recruitment agency to assist in sourcing and shortlisting candidates for nine (9) internship positions,25/08/2025,[object Object]
Other service activities,Plant hire demands for formation rehabilitation between De Aar to Bletterman on the De Aar - Port Elizabeth line.,25/08/2025,[object Object]
Information service activities,"The National Research Foundation – SAASTA (NRF|SAASTA) hereby invites suitably qualified service providers to submit quotations for the provision of system maintenance, support and enhancements of the existing South African Network of Science Centres (SANSC) online system for a period of (5) five months.",25/08/2025,[object Object]
Information service activities,"The National Research Foundation – SAASTA (NRF|SAASTA) hereby invites suitably qualified service providers to submit quotations for the provision of system maintenance, support and enhancements of the existing South African Network of Science Centres (SANSC) online system for a period of (5) five months.",25/08/2025,[object Object]
Human health activities,"Supply, delivery, install and commission of one (1) bench top Quadrupole- High Resolution Mass Spectrometer (Q-TOF or Q- Orbitrap) coupled with Ultra- high Performance Liquid Chromatography (UHPLC), including a nitrogen generator, a UPS and a workstation with chromatographic software (including libraries) and an additional workstation for data analysis, for the Toxicology section at the Forensic Chemistry Laboratory in Cape Town at 120 Albert Road Woodstock 7925 including service, maintenance and repair for a period of five (5) years.",25/08/2025,[object Object]
"Electricity, gas, steam and air conditioning",Electrical wiring of reception area - Infuitec Main Building,25/08/2025,[object Object]
Information and communication,"Appointment of a service provider who can assist the SAWS with services normally provided by a Chief Information Officer, by overseeing the Information and Communications Technology operations for a maximum period of six (6) months.",23/08/2025,[object Object]
Services: Professional,THE ROAD ACCIDENT FUND (RAF) SEEKS TO APPOINT A QUALIFIED AND EXPERIENCED SERVICE PROVIDER TO EMPLOYEE WELLNESS PROGRAMME (EWP) SERVICES TO THE RAF FOR A PERIOD OF FIVE (5) YEARS.,22/08/2025,[object Object]
Other personal service activities,"PROJECT MANAGEMENT (EMPLOYER’S REPRESENTATIVE) CONSULTANCY SERVICES FOR THE PLANNING, DESIGN AND CONSTRUCTION OF VARIOUS CLINICS: DEVELOP & CONSTRUCT",22/08/2025,[object Object]
Other service activities,Refurbishment of sedimentation V-tank railway and repair the structure at Vereeniging pumping station,22/08/2025,[object Object]
Services: Professional,"The Road Accident Fund (RAF) wishes to appoint a suitably qualified and experienced service provider to provide Language Services which include but not limited to (translation, editing, proofreading and interpreting services) for a period of twelve (12) months.",22/08/2025,[object Object]
Rental and leasing activities,"Acquisition / Provisioning of office accommodation for the Department of SOCIAL DEVELOPMENT (HEAD OFFICE) in Limpopo Province, for a Period of 09 Years and 11 Months.",22/08/2025,[object Object]
Rental and leasing activities,"Acquisition / Provisioning of office accommodation for the Department of SOCIAL DEVELOPMENT(CAPRICORN DISTICT OFFICE) in Limpopo Province, for a Period of 09 Years and 11 Months.",22/08/2025,[object Object]
Repair and installation of machinery and equipment,"REQUEST FOR A QUOATATION FOR A CONTRACTOR TO REPAIR, UPGRADE AND MENTAIN THE EXISTING FLAMMABLE STORE AT IZIKO MUSEUM OF SOUTH AFRICA",22/08/2025,[object Object]
Education,Training: Performing Effective Quality Assessment,22/08/2025,[object Object]
Other service activities,APPOINTMENT OF A SERVICE PROVIDER TO FACILITATE VARIOUS TRAINING FOR ONE (1) DELEGATE,21/08/2025,[object Object]
Services: General,"LEASING OF NEW MULTIFUNCTION PHOTOCOPY UNITS, SUPPORT AND MAINTENANCE FOR A PERIOD OF THREE YEARS.",21/08/2025,[object Object]
Services: General,BUSINESS CHAMBER TO PARTNER WITH TIA IN THE EASTERN CAPE,20/08/2025,[object Object]
Services: Professional,"REQUEST FOR QUOTATION (RFQ) FOR: THE APPOINTMENT IF NATIONAL BUS TOWING SERVICES, SERVICE PROVIDER FOR TOWING OF BUSES BROKEN DOWN ENROUTE, WHICH CANNOT BE REPAIRED AT THE BREAKDOWN SCENE, TO THE NEAREST DEPOT OR SAFE PARKING SPACE AS AND WHEN REQUIRED",20/08/2025,[object Object]
Services: Professional,"REQUEST FOR QUOTATION (RFQ) FOR: THE APPOINTMENT IF NATIONAL BUS TOWING SERVICES, SERVICE PROVIDER FOR TOWING OF BUSES BROKEN DOWN ENROUTE, WHICH CANNOT BE REPAIRED AT THE BREAKDOWN SCENE, TO THE NEAREST DEPOT OR SAFE PARKING SPACE AS AND WHEN REQUIRED",20/08/2025,[object Object]
Construction,Renovation of Hlanganani Branch Hall (Ward 18),20/08/2025,[object Object]
Construction,Renovating Sifuleni & Makhankane Community Hall (Ward 19),20/08/2025,[object Object]
Construction,Construction of Double Toilets at Woza Community Hall (Ward 21),20/08/2025,[object Object]
Construction,Construction of Double Toilets at Mambeni Community Hall (Ward 21),20/08/2025,[object Object]
Manufacture of electrical equipment,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, DELIVER WATER-COOLED COPPER CABLES",20/08/2025,[object Object]
"Computer programming, consultancy and related activities",PROVISION OF TRAINING FOR 30 LECTURERS ON COMPUTER LITERACY SKILLS IN KOKSTAD,20/08/2025,[object Object]
Other service activities,APPOINTMENT OF SERVICE PROVIDER FOR THE SERVICE AND MAINTENANCE OF A PASSENGER LIFT AT NNR CAPE TOWN SITE OFFICE FOR A PERIOD OF THREE (3) YEARS.,20/08/2025,[object Object]
Wholesale and retail trade and repair of motor vehicles and motorcycles,"REQUEST FOR QUOTATION (RFQ) FOR THE APPOINTMENT OF AN AUTOMOTIVE ENGINEERING ENTITY THAT IS CAPABLE OF OVERHAULING COMMERVIAL VEHICLE ENGINES, REMOVING, REPLACING AND COMMISSIONING IT",19/08/2025,[object Object]
"Creative, arts and entertainment activities",PERFORMING ARTISTS FOR THE GOLDEN SHIELD HERITAGE AWARDS - 2025,19/08/2025,[object Object]
"Creative, arts and entertainment activities",PERFORMING ARTISTS FOR THE GOLDEN SHIELD HERITAGE AWARDS - 2025,19/08/2025,[object Object]
Mining support service activities,"FOSPHB-RFP-41-25/26 REQUEST FOR PROPOSAL [RFP] FOR THE PROVISION OF MILL RELINING, FOR THE PERIOD OF THREE YEARS",19/08/2025,[object Object]
"Professional, scientific and technical activities",PROVISION OF CONDITION MONITORING SERVICES FOR TRANSNET SOC LTD (REG. NO. 1990/000900/30) OPERATING AS TRANSNET PORT TERMINALS (HEREINAFTER REFERRED TO AS “TPT”) AT THE PORT OF DURBAN BBC TERMINAL FOR A PERIOD OF 36 MONTHS.,19/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),"TO APPOINT A SERVICE PROVIDER (SP) TO RENDER ARMED RESPONSE TO ELECTRONIC INTRUDER DETECTION ALARM SYSTEMS AT THE LAAIPLEK PROCLAIMED FISHING HARBOUR IN THE DEPARTMENT OF FORESTRY, FISHERIES AND THE ENVIRONMENT FOR A PERIOD OF (36) MONTHS",19/08/2025,[object Object]
Other service activities,DESTRUCTION OF GOODS: CITY DEEP,19/08/2025,[object Object]
Other manufacturing,Round Building Telemetry Wing Roof Leak,18/08/2025,[object Object]
Activities of head offices; management consultancy activities,"EWSETA/RFQ/025/2025-26 - OUTSOURCING A PORTFOLIO/PROGRAMME MANAGER WITH EXPERIENCE IN DELIVERING DIVERSE ICT PROJECTS ESPECIALLY IN SYSTEM DEVELOPMENT, TESTING, IMPLEMENTATION AND MINTAINANCE FOR A PERIOD OF NINE (9) MONTHS SUBJECT TO REVIEW/ EXTENSION",18/08/2025,[object Object]
Services: Professional,"APPOINTMENT OF SERVICE PROVIDER TO PROVIDE CULTURE AND NATURE TRAINING OF TOURIST GUIDES UNDER UGU, ILEMBE AND UMZINYATHI DISTRICT MUNICIPALITIES",18/08/2025,[object Object]
"Other professional, scientific and technical activities",Request for Diligent Boards Director Licenses quantity 2,18/08/2025,[object Object]
Supplies: General,FOSCOR-RFP-04-25/26 REQUEST FOR PROPOSAL [RFP] [GOODS] FOR THE ONCE – OFF SUPPLY OF BULK SULPHUR OF 35 000 TONS [+-10% SELLERS OPTION],18/08/2025,[object Object]
"Travel agency, tour operator, reservation service and related activities",Request for Proposal for Appointment of Travel Management Company To Provide Travel Management Services for MEC and HOD offices,18/08/2025,[object Object]
"Travel agency, tour operator, reservation service and related activities",Request for Proposal for Appointment of Travel Management Company To Provide Travel Management Services Head Office (General Staff),18/08/2025,[object Object]
Construction,"MANUFACTURE, SUPPLY, DELIVERY AND INSTALLATION OF PRECAST BEAMS AND PARAPET WALLS INCLUDING PILING FOR THE ACCESS ROAD BRIDGE TO NANDONI DAM REMEDIAL ACTION PROJECT - ONLY RESPONDENTS WITH CIDB GRADING 7CE OR 7SJ OR HIGHER ARE ELIGIBLE TO BID",16/08/2025,[object Object]
Construction of buildings,REPAIRS TO NDONDO COMMUNITY HALL,15/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),TEAMS OF REFERANCE OF RENDERING CLEANING AND HYGEIEN SERVICES TO GOVERNMENT COMMUNICATION AND INFORMATION SYSTEM,15/08/2025,[object Object]
Scientific research and development,TO SOURCE A SERVICE PROVIDER TO REVIEW THE INTERNSHIP PROGRAME TRAINING GUIDELINES AND DEVELOP TRAINING GUIDELINES FOR CANDIDACY PROGRAMME.,15/08/2025,[object Object]
Human health and social work activities,The Road Accident Fund (RAF) wishes to appoint a suitable service provider for Virtual Mental Health Sessions.,15/08/2025,[object Object]
Services: General,PROVISION OF ARTISTS,15/08/2025,[object Object]
Wholesale and retail trade and repair of motor vehicles and motorcycles,"THE APPOINTMENT OF AN AUTOMOTIVE ENGINEERING ENTITY THAT IS CAPABLE OF OVERHAULING COMMERCIAL VEHICLE ENGINES, REMOVING, REPLACING AND COMMISSIONING IT.",15/08/2025,[object Object]
Repair and installation of machinery and equipment,"Design, Supply and Installation of energy efficient Irrigation System",15/08/2025,[object Object]
Education,APPOINTMENT OF SERVICE PROVIDER TO PROVIDE PRESENTATION AND COMMUNICATION SKILLS TRAINING,15/08/2025,[object Object]
Supplies: Clothing/Textiles/Footwear,REQUEST FOR SUPPLY AND DELIVERY OF PPE: DELIVERY ADDRESS: 110 HAMILTON STREET ARCADIA,15/08/2025,[object Object]
Construction,Bid for SAFARI-1 Cooling Tower Fills Replacement,15/08/2025,[object Object]
Services: Professional,"PROVISION OF SPECIALIST LEGAL SERVICES (MFMA, SCM AND RELATED SERVICES)",14/08/2025,[object Object]
Scientific research and development,"APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER A UAV, LIDAR SENSOR, BATTERY CHARGING CASE AND BATTERIES AND ASSOCIATED SOFTWARE",14/08/2025,[object Object]
Services: Professional,APPOINTMENT OF PROFESSIONAL SERVICE PROVIDER FOR THE REFINEMENT OF GROUNDWATER DEPENDENT ECOSYSTEMS MAP OF SOUTH AFRICA TO A WATER MANAGEMENT AREA LEVEL.,14/08/2025,[object Object]
"Electricity, gas, steam and air conditioning",Sub-Construction of the Appointment of a Contractor for Electrification of 221 Households and 10km Link Line Upgrade,14/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),"TO APPOINT A SERVICE PROVIDER (SP) TO RENDER ARMED RESPONSE TO ELECTRONIC INTRUDER DETECTION ALARM SYSTEMS AT THE HOUT BAY PROCLAIMED FISHING HARBOUR IN THE DEPARTMENT OF FORESTRY, FISHERIES AND THE ENVIRONMENT FOR A PERIOD OF (36) MONTHS.",14/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),"TO APPOINT A SERVICE PROVIDER (SP) TO RENDER ARMED RESPONSE TO ELECTRONIC INTRUDER DETECTION ALARM SYSTEMS AT THE ST HELENA BAY PROCLAIMED FISHING HARBOUR IN THE DEPARTMENT OF FORESTRY, FISHERIES AND THE ENVIRONMENT FOR A PERIOD OF (36) MONTHS",14/08/2025,[object Object]
Services: Functional (Including Cleaning and Security Services),Provision of industrial station chutes cleaning at Matimba Power Station for the period of 5 years.,13/08/2025,[object Object]
Information and communication,Supply of ERP and related software system support to Necsa for a period of 36 months.,13/08/2025,[object Object]
Services: General,"APPOINTMENT OF SERVICE PROVIDER(S) TO SUPPLY, INSTALL, MAINTAIN,RELOCATE, AND DISPOSE OF OBSOLETE MOVABLE UNITS (i.e. MOVABLE CLASSROOMS, ADMIN BLOCKS, OFFICES, KITCHEN AND ABLUTION FACILITIES) AS WELL AS BASIC SERVICES (i.e. SITE WORKS, ELECTRICITY AND SEWER CONNECTIONS, WATER SUPPLY AND RETICULATION) TO IDENTIFIED SCHOOLS WITHIN THE MPUMALANGA PROVINCE FOR A PERIOD OF THREE (3) YEARS WITH AN OPTION TO RENEW FOR TWO YEARS",13/08/2025,[object Object]
Information service activities,REQUEST FOR A SERVICE PROVIDER FOR THE PROVISION AND IMPLEMENTATION OF HR SYSTEM AND PAYROLL SERVICE TO TRADE & INVESTMENT KWAZULU-NATAL.,13/08/2025,[object Object]
Services: Professional,REQUEST FOR QUOTATION FOR PERSONNEL SAFETY RISK ASSESSMENT FOR THE NATIONAL LOTTERIES COMMISSION (NLC),13/08/2025,[object Object]
Other service activities,To appoint a service provider to supply and deliver lights in Gauteng.,13/08/2025,[object Object]
Rental and leasing activities,"Reissue_Leased premises for a period of 60 months within 15km from Telecomms, Lines and Servitudes office, Bethelsdorp, Spondo St, Struandale, Gqeberha.",12/08/2025,[object Object]
Wholesale and retail trade and repair of motor vehicles and motorcycles,"RFQ FOR THE APPOINTMENT OF A SUPPLIER FOR THE SUPPLY OF MECEDES-BENZ BUS ENGINE, REMOVAL, PARTS SUPPLY, OVERHAUL, REPLACE AND COMMISIONING",12/08/2025,[object Object]
Services: General,"APPOINTMENT OF SERVICE PROVIDER(S) TO SUPPLY, PACKAGE, AND DELIVER SCHOLASTIC STATIONERY TO PUBLIC EDUCATION INSTITUTIONS IN THE MPUMALANGA PROVINCE FOR A PERIOD OF FIVE (5) YEARS WITH THE OPTION OF TWO (2) YEARS EXTENSION",12/08/2025,[object Object]
Supplies: General,Cancellation: The supply and delivery of water,12/08/2025,[object Object]
Security and investigation activities,Provision of Security Services for Somerset East Office under Sarah Baartman & NMB District for a period of 36 Months,11/08/2025,[object Object]
Other service activities,APPOINTMENT OF SKILLS DEVELOPMENT PROVIDERS FOR THE ESTABLISHMENT OF A DATABASE OF SKILLS PROVIDERS FOR A PERIOD OF THREE (03) YEARS.,11/08/2025,[object Object]
"Travel agency, tour operator, reservation service and related activities",APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR TRAVELLING AND ACCOMMODATION SERVICES FOR A PERIOD OF THREE (03) YEARS.,11/08/2025,[object Object]
Supplies: General,APPOINTMENT OF A PANEL OF SERVICE PROVIDERS FOR SUPPLY AND DELIVERY OF DISASTER RELIEF MATERIALS FOR A PERIOD OF THREE (03) YEARS.,11/08/2025,[object Object]
Manufacture of basic metals,Supply of material for Thabana pipe store – piping and flanges.,11/08/2025,[object Object]
Supplies: General,"APPOINTMENT OF SERVICE PROVIDER FOR SUPPLY, DELIVERY AND ASSEBLE OF PERSONNEL PROTECTIVE EQUIPMENT BAGS.",11/08/2025,[object Object]
Services: Professional,FLEXIBLE INSURANCE SOLUTIONS TO SOUTH AFRICAN ARTISTS AND ATHLETES.,11/08/2025,[object Object]
Disposals: General,Eskom Renewable Energy Offtake Commissioned in phases – 291MW Solar PV Capacity,11/08/2025,[object Object]
Services: General,"Stormwater infrastructure upgrade and gabion protection works, Avoca Hills Ward 34",10/08/2025,[object Object]
"Arts, entertainment and recreation",We are seeking quotation from facilitator /experienced coach,10/08/2025,[object Object]
Services: General,"Panel of service providers for supply, delivery and installation of Agroprocessing equipment, within the province of Kwazulu-Natal for a period of thirty-six (36) months.",08/08/2025,[object Object]
Services: General,"Panel a of service providers to supply, delivery and offload tractors and farm Agricultural implements / equipment for a period of thirty-six- (36) months.",08/08/2025,[object Object]
Supplies: Stationery/Printing,"REQUIRED: REQUEST FOR SERVICE PROVIDER TO SUPPLY AND DELIVER STATIONERY FOR THE DEPARTMENT OF FORESTRY, FISHERIES AND THE ENVIRONMENT DELIVERY LOCATION: 473 STEVE BIKO ROAD, GEZINA, PRETORIA",08/08/2025,[object Object]
"Arts, entertainment and recreation","The Road Accident Fund (RAF) wishes to appoint a suitable service provider to provide Guest Speakers for Women’s Day Event on 22 August 2025 for the RAF Office, East London.",08/08/2025,[object Object]
