category,tenderNumber,description,advertised,closing,cancelled,AI_Related,AI_Reason
Supplies: Electrical Equipment,MWP2989DXX,"Manufacture, supply and delivery of Phase Conductors Cables, Aerial Bundled Conductors with Bare or Neutral Supporting Conductors (ABC), Low Voltage (LV) Power & Control Cables, Medium Voltage (MV) Cables and Concentric Cables on an “as and when required” basis for the Gauteng Cluster for a period of 3 years",18/09/2025,12/12/2025,,,
Services: General,UMZ/INFRA/CAP/2025-26/029,Construction of Emaxesibeni Municipal Hall Parking Area,18/09/2025,13/10/2025,,,
Real estate activities,E1767DXNC,"Request for an Expression of Interest (EOI): Provision of Office Building for Acquisition (outright purchase) in Upington, Northern Cape Operating Unit",18/09/2025,30/09/2025,,,
Construction,ZNB02748/00000/00/DUN/INF/25/T,"BETTERMENT AND REGRAVELLING OF P281 FROM CHAINAGE KM 19+00 TO KM 23+00 IN MSINGA AREA OFFICE, UNDER DUNDEE COST CENTRE (GRADE 3CE OR HIGHER)",18/09/2025,22/10/2025,,,
Security and investigation activities,ADDENDUM NR. 1 - TENDER 147/2025,"ADDENDUM NR. 1 - AMENDMENT TO CLARIFICATION MEETING DETAIL (TENDER 147/2025 - APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY, INSTALL, MONITOR AND MAINTAIN INTRUSION ALARM SYSTEMS, SECURITY BEAMS AND CCTV CAMERA SYSTEMS FOR A CONTRACT PERIOD OF THREE (3) YEARS)",18/09/2025,15/10/2025,,,
"Office administrative, office support and other business support activities",052/2025/EWSS/STORAGE/RFB,APPOINTMENT OF A SERVICE PROVIDER TO RENDER OFF-SITE DOCUMENT STORAGE AND DIGITIZATION SERVICES FOR A PERIOD OF 36 MONTHS,18/09/2025,30/10/2025,,,
Services: Electrical,SLM/SCM/13/2025/26,RE: SUPPLY AND DELIVERY OF ELECTRICAL MATERIAL,18/09/2025,03/10/2025,,,
Other service activities,MWP02333TX,REGRET LETTER FOR Provision for general small works contract for NTCSA Central Grid for a period of three (3) years.,18/09/2025,26/09/2025,,,
Education,RFQ-0173-25/26,"BUDGETING, MANAGEMENT",18/09/2025,23/09/2025,,,
Manufacture of machinery and equipment n.e.c.,NECSA-20250918,REQUEST FOR QUOTATION FOR A HEMATOLOGY ANALYZER,18/09/2025,23/09/2025,,,
Other service activities,RFQ 25/26/83/NM,"Provision of electrical testing, tracing, repairing and restoration services at Elliotdale Post Office.",18/09/2025,29/09/2025,,,
Education,RFQ/HC/COACHING/2025/09,PROVISION OF COACHING,18/09/2025,26/09/2025,,,
Other service activities,E1881GXMPHEN,The Supply and Delivery of Hazardous Location Spare Components on an “as and when required basis” at Hendrina Power Station for a period of 5 years,18/09/2025,08/10/2025,,,
Other manufacturing,19/1/9/1/38TD (24),SUPPLY AND DELIVERY OF CONSUMABLES FOR 3500XL GENETIC ANALYSER INSTRUMENT,18/09/2025,17/10/2025,,,
Supplies: General,ITS012509RFQ00000034,Atago Hand-held Pocket Brix-Acidity meter (multi fruits) PAL-BX/Acid F5 (ARC-TSC) Nelspruit,18/09/2025,26/09/2025,,,
Education,RFQ-0153-25/26-,FLEET AND TRANSPORT MANAGEMENT TRAINING,18/09/2025,23/09/2025,,,
Supplies: General,ITS012509RFQ00000038,Colour Measurement LC 100 SV 100 KIT LOVIBOND (ARC-TSC) Nelspruit,18/09/2025,26/09/2025,,,
Services: Professional,RFQ - dtic/HR/HIA/25,The dtic HEREBY INVITES SUITABLE SERVICE PROVIDERS TO PROVIDE THE DEPARTMENT WITH A QUOTATION FOR HARASSMENT INVESTIGATION AND ADVISORY SERVICES IN ACCORDANCE WITH THE TERMS OF REFERENCE (SCOPE OF WORK).,18/09/2025,29/09/2025,,,
Information service activities,RFB 3149/2025,Request for bid for the Provision of VMWARE Licenses Renewal for a Period of 36 Months for the Department of Tourism,18/09/2025,13/10/2025,,,
Supplies: Medical,E1862GXMPHEN,"SERVICE, MAINTENANCE AND SUPPLY OF FIREFIGHTING EQUIPMENT AT HENDRINA POWER STATION AS AND WHEN REQUIRED FOR A PERIOD OF 5 YEARS",18/09/2025,14/10/2025,,,
Services: General,ERI/2025/TSS/08C,TENDER CANCELLATION: CALIBRATION AND REFURBISHMENT OF SAFETY VALVES FOR A PERIOD OF 3 YEARS,18/09/2025,20/10/2025,,,
"Professional, scientific and technical activities",E1852GXMPKOM,"Appointment of a consultant to support Eskom in conducting a feasibility study to assess the business case for mushroom and “eco-brick” production from alien vegetation at, or nearby, Komati Power Station",18/09/2025,13/10/2025,,,
Services: General,ERI/2025/TSS/04C,"TENDER CANCELLATION: Design, manufacturing and delivery of six tool trailers for a once off purchase",18/09/2025,31/10/2025,,,
Services: Electrical,WTE-2520ES,SERVICE AND REPAIRS OF TRANSFORMERS IN THE OPERATIONS EASTERN (DURATION 2 MONTHS),18/09/2025,14/10/2025,,,
Services: Professional,RFB 3150/2025,"Request for bid for the Appointment of a Service Provider for the Production of the SITA Annual Report, Strategic Plan, and Annual Performance Plan for a Period of Three (3) Years",18/09/2025,13/10/2025,,,
Supplies: Computer Equipment,Q31-2025-26,"ADVERTISEMENT: APPOINTMENT OF A SERVICE PROVIDER FOR THE SUPPLY AND DELIVERY OF SPECIALISED ICT EQUIPMENT TO THE COMMUNICATION, MARKETING AND EVENTS DEPARTMENT",18/09/2025,02/10/2025,,,
Services: Functional (Including Cleaning and Security Services),10111514,"The Road Accident Fund (RAF) wishes to appoint a suitable service provider to Maintain, Service and Repair Security Systems at Durban Office on a month-to-month basis for a period not exceeding six (6) months).",18/09/2025,25/09/2025,,,
Information service activities,RFB 3152/2025,"Request for bid for the Appointment of a Service Provider for the Installation and Configuration of the Switch and Wireless Network Infrastructure in Three (3) Phases for a Period of Three (3) Years, Including Three (3) Years Maintenance and Support",18/09/2025,13/10/2025,,,
Services: Electrical,E1886GXMPGRO,The provision of H2 skid gas station service and repairs at Grootvlei Power Station on an as and when required basis for a period of 60 months,18/09/2025,21/10/2025,,,
Administrative and support activities,ASA 14/09/2025,The Procurement of Media and Flag Banner,18/09/2025,22/09/2025,,,
Services: General,ITS012509RFQ00000036,Digital Alcohol Meter/Alcolyzer M (ARC-TSC) Nelspruit,18/09/2025,26/09/2025,,,
Information and communication,Znq 54/25/26,SITA Accredited service providers on 1183 Transversal contract are hereby invited to quote for the provision of Microsoft 365 External data backup solution with Unlimited storage for 1 110 User accounts for a period of twelve (12) months for the Department of Public Works & Infrastructure,18/09/2025,26/09/2025,,,
Architectural and engineering activities; technical testing and analysis,10364430,KZN SPECIAL TOOLS,18/09/2025,30/09/2025,,,
Information service activities,ASA 13/09/2025,Appointment of a Service Provider to Renew Adobe Acrobat Pro licences and Support & Maintenance for a Period of 36 Months,18/09/2025,25/09/2025,,,
"Electricity, gas, steam and air conditioning",IDTHOFACILITYUNIT19092025,ELECTRICAL CONTRACTOR INDEPENDENT DEVELOPMENT TRUST NATIONAL OFFICE.,18/09/2025,01/10/2025,,,
Other service activities,RFP 201788,Video Conferencing Upgrade,18/09/2025,10/10/2025,,,
Information and communication,MHSC 014/2025-26,"TERMS OF REFERENCE FOR APPOINTMENT OF A SERVICE PROVIDER FOR THE PROVISION OF ICT INFRASTRUCTURE IMPLEMENTATION SOLUTION TO THE NEW BUILDING FOR MHSC WITHIN 12 WORKING WEEKS, AND MAINTENANCE AND SUPPORT FOR 36 MONTHS",18/09/2025,15/10/2025,,,
Services: General,E1896DXEC,"Provision for service and maintenance of existing fire equipment, as well the supply and delivery of new units at various sites at Mthatha and Aliwal North zone in Cape Coastal Cluster - Eastern Cape.",18/09/2025,22/10/2025,,,
Manufacture of electrical equipment,FQ 40/2025,Supply and delivery of borehole pumps and equipment (once-off) for Kannaland Municipality,18/09/2025,25/09/2025,,,
Services: Professional,RFQ083/2025,Administrative and Logistics Support Services,18/09/2025,26/09/2025,,,
Supplies: Electrical Equipment,FQ 41/2025,Supply and delivery of underground cables (once-off) for Kannaland Municipality,18/09/2025,25/09/2025,,,
Services: General,IHLM/69/2025-26/ADMIN,TRAINING FOR FIVE (05) TECHNICIANS ON CONSTRUCTION ENGINEERING CONTRACTS GCC 2018,18/09/2025,26/09/2025,,,
Services: Building,Regret letter-MWP2370TX,"REGRET LETTER-PROVISION OF SUPERVISION, LABOUR, EQUIPMENT AND MATERIAL REQUIRED FOR GENERAL BUILDING MAINTENANCE SERVICES FOR TRANSMISSION SUBSTATIONS AND COMMERCIAL BUILDINGS FOR NORTHERN GRID (NORTHWEST & LIMPOPO). FOR A PERIOD OF 36 MONTHS, FOR AS AND WHEN REQUIRED BASIS",18/09/2025,20/10/2025,,,
Other service activities,E1834GXMPMAJ,REMOVAL OF DIRTY GREASE & OIL AT MAJUBA POWER STATION,18/09/2025,07/10/2025,,,
Services: Professional,INF/TEN17092025,Invitation to all interested entities to form a Strategic Partnership with Broadband Infraco (BBI) for the Commercialization of Broadband Infraco Network Infrastructure and Services for a period of five (5) years.,18/09/2025,10/10/2025,,,
Architectural and engineering activities; technical testing and analysis,10364249,WESTERN CAPE SPECIAL TOOLS SPECIFICATION,18/09/2025,30/09/2025,,,
Supplies: General,RFQ 2025.216,Prospective service providers are hereby requested to quote on supply and delivery of TONER for TSAKANE CLC as per the attached advert.,18/09/2025,19/09/2025,,,
Scientific research and development,COR/7889/2025RFP,Request for Proposal for the Provision of Service Standards Research tender for a Period of sixty (60) at Airports Company South Africa Airport,18/09/2025,21/10/2025,,,
Construction,ZNB02542/00000/00/KWA/INF/24/T,"REPAIRS AND TREATMENT OF EXISTING ASPHALT ROAD P25-3 BETWEEN 0.000KM AND 37.127KM IN THE NDWEDWE LOCAL MUNICIPALITY(KZ293), KZN DEPARTMENT OF TRANSPORT: ILEMBE DISTRICT OFFICE (COST CENTRE KWADUKUZA), DURBAN REGION CIDB GRADE 4 or higher",18/09/2025,24/10/2025,,,
Services: Professional,SC2597/2025,Professional Service Providers for the Provision of Language and Editing Services,18/09/2025,03/10/2025,,,
Sewerage,ZNQUMGDO 60 -2025/2026,OFFICE OF THE PREMIER: MOSES MABHIDA BUILDING: 3 YEARS ELECTRICAL MAINTENANCE CONTRACT : 1 EB or higher,18/09/2025,25/09/2025,,,
Other service activities,Q/NC062/02/2025-2026,SERVICE OF FIRE EXTINGUISHERS WITHIN THE NAMA KHOI MUNICIPAL AREA,18/09/2025,26/09/2025,,,
Construction,ZNB02803/00000/00/POR/INF/25/T:,"INSTALATION OF GABION BOXES AND MATRESSES FROM KM 9 TO KM 10 ON ROAD D1100 UNDER UMUZIWABANTU LOCAL MUNICIPALITY,DURBAN REGION. CIDB GRADE 3 or higher",18/09/2025,04/11/2025,,,
"Manufacture of motor vehicles, trailers and semi-trailers",COR79872025RFP,The provision of Proposal of nine (9) specialised fire fighting vehicles with Ultra high-pressure extinguishing system over a period of 12 (twelve) months,18/09/2025,22/10/2025,,,
Services: Electrical,ZNQUMGDO 67 -2025/2026,DEPARTMENT OF TRANSPORT: HYSLOP ROAD: REPLACE THE BLOCKED SEWER LINE: 2SO,18/09/2025,25/09/2025,,,
Mining support service activities,ALEX RFP 06/2026,A SUITABLY QUALIFIED AND EXPERIENCED COMPANIES TO SUBMIT PROJECT PROPOSALS FOR THE MINING OF DIAMONDIFEROUS GRAVEL FROM MID-WATER FOR A PERIOD OF FIVE (5) YEARS,18/09/2025,02/10/2025,,,
Services: Professional,DLRRD (PSSC GP) -0001 (2025/2026),"TERMS OF REFERENCE FOR THE ESTABLISHMENT OF A PANEL OF SERVICE PROVIDERS TO PROVIDE PROFESSIONAL SERVICES IN THE FORM OF MEDIATION TO SERVE UNDER THE PANEL OF THE LAND RIGHTS MANAGEMENT FACILITY OF THE DEPARTMENT LAND REFORM AND RURAL DEVELOPMENT, AND THE COMMISSION ON RESTITUTION OF LAND RIGHTS, FOR A PERIOD THREE (3) YEARS WITHIN GAUTENG PROVINCE",18/09/2025,10/10/2025,,,
Financial and insurance activities,BSM 14/26,GROUP LIFE INSURANCE SCHEME FOR THE PERIOD ENDING 30 JUNE 2029,17/09/2025,20/10/2025,,,
Construction,BSM 01/26,CONSTRUCTION OF PIGGYBACK LINERS AND ASSOCIATED INFRASTRUCTURE AT STELLENBOSCH LANDFILL,17/09/2025,20/10/2025,,,
Services: Professional,ZNTM01251W,"KZN Department of Health: uMgungundlovu District: The Appointment of a Consortium of a Multi-Disciplinary Team of Professional Consultants for the Ex-Boys Model School Converted to DOH SCM Office: For planning, design, Inspection and replacement of damaged roof tiles with Chromadek sheeting subject to AMAFA Approval",17/09/2025,22/10/2025,,,
"Electricity, gas, steam and air conditioning",E1721GXMPHEN-Bidder's Names,Publication of names of bidders for the Supply and Refurbishment of UG40 Actuators for a period of 5 years,17/09/2025,17/10/2025,,,
Manufacturing,RFQ NUMBER: PRA/LDPT/NEW-TRAILER/07/25,REQUEST FOR QUOTATION (RFQ) FOR THE APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER NEW LUGGAGE TRAILERS,17/09/2025,06/10/2025,,,
Construction,SBM 19/24/25,SLUDGE DEWATERING FACILITIES UPGRADE FOR SALDANHA WASTEWATER TREATMENT WORKS.,17/09/2025,24/10/2025,,,
Construction,ZNB02694/00000/00/DUN/INF/25/T,"PROVISION OF ROUTINE AND SAFETY MAINTENANCE ON VARIOUS ROADS (P6-2, P12-1, P12-2, P14-2, P6-3, P16-1, P151, P150, P362 AND D78 WITHIN THE GREYTOWN ZONE 1 IN GREYTOWN AREA OFFICE UNDER UMVOTI LOCAL MUNICIPALITY) - GRADE 7CE OR HIGHER",17/09/2025,28/10/2025,,,
Services: General,IHLM/68/2025-26/MM'S,FRAUD HOTLINE SERVICES FOR A PERIOD OF 36 MONTHS,17/09/2025,20/10/2025,,,
Construction,SBM 01/25/26,LAINGVILLE WASTE WATER TREATMENT WORKS: PHASE 1: DEBOTTLENECKING.,17/09/2025,31/10/2025,,,
Construction,ZNB02703/00000/00/EST/INF/25/T,CONSTRUCTION OF NEW GRAVEL ROAD L3492 (FROM 0+000 TO 3+153) IN LADYSMITH AREA OFFICE UNDER ALFRED DUMA LOCAL MUNICIPALITY (GRADE 5CE OR HIGHER),17/09/2025,29/10/2025,,,
Supplies: General,IHLM/64/2025-26/MM's,PROCUREMENT OF 55 TRACKSUITS,17/09/2025,26/09/2025,,,
Construction,ZNB02706/00000/00/EST/INF/25/T,BLACKTOP PATCHING ON P32 (FROM KM 0+000 TO KM 21+600) IN AREA OFFICE LADYSMITH UNDER AFRED DUMA LOCAL MUNICIPALITY (GRADE 5CE OR HIGHER),17/09/2025,21/10/2025,,,
Services: Professional,5-2-2-1 DLRRD-0010(2025-2026),APPOINTMENT OF A SERVICE PROVIDER TO DEVELOP A SOUTH AFRICAN GEOSPATIAL INFORMATION MANAGEMENT STRATEGY FOR A PERIOD OF EIGHTEEN (18) MONTHS.,17/09/2025,09/10/2025,,,
Construction,ZNB02815/00000/00/DUN/INF/25/T,EMBANKMENT SLOPE REPAIR ON MAIN ROAD P549 AT KM 17+000 WITHIN UMVOTI LOCAL MUNICIPALITY UNDER THE LADYSMITH REGIONAL OFFICE ( GRADE 5CE OR HIGHER),17/09/2025,29/10/2025,,,
Supplies: General,ZNB02590/00000/00/PMC/GEN/24/T,"Supply & delivery of furniture for Area office Umshwati, Mpumalanga & Cost Centre PMB.",17/09/2025,22/10/2025,,,
Supplies: Medical,CPSC/B/PC/013/2025,"OUTSOURCING OF SERVICE PROVIDER FOR SUPPLY, DELIVERY AND MAINTENANCE OF 24 MONTHS FOR INDUSTRIAL X-RAY UNIT AT 1 AIR SERVICING UNIT. DOD PROC PLAN 25-26/SAAF/2600",17/09/2025,25/09/2025,,,
Security and investigation activities,RFQ201812,RFQ 201812: APPOINTMENT OF A SERVICE PROVIDER TO CONDUCT INVESTIGATIONS,17/09/2025,23/09/2025,,,
Services: Professional,RFX 60000003031,Repair of the Elevation Worm Drive – 11m C-Band Scientific Atlanta,17/09/2025,30/09/2025,,,
Services: Professional,RFP/2021/001263,APPOINTMENT OF A QUALIFICATION DEVELOPMENT FACILITATOR (1) PSETA OCCUPATIONAL QUALIFICATIONS,17/09/2025,30/09/2025,,,
Other service activities,MN 10-2025,TENDER MN 10/2025 TERMS OF REFERENCE (TORs) FOR THE APPOINTMENT OF A PROFESSIONAL SERVICE PROVIDER TO REVIEW THE DISASTER MANAGEMENT PLAN FOR THE KWADUKUZA LOCAL MUNICIPALITY IN LINE WITH DISASTER MANAGEMENT ACT OF 57 OF 2002 AND OTHER RELEVANT POLICY FRAMEWORKS Tender documents will be available from 10h00 on 19th of September 2025. The cut-off time for selling of tender documents is 15h00 on 08th of October 2025.,17/09/2025,24/10/2025,,,
Services: General,BID 07/25,MAINTENANCE AND SERVICING OF THE STANDBY GENERATOR FOR A PERIOD OF THREE YEARS (36 MONTHS),17/09/2025,03/10/2025,,,
Other manufacturing,E1882DXEC,SUPPLY AND DELIVERY OF VARIOUS MASTER PADLOCKS FOR A PERIOD OF THREE (3) YEARS BASED ON AN AS AND WHEN REQUIRED BASIS.,17/09/2025,15/10/2025,,,
Services: Professional,HM/16/09/2026//01,"Appointment of a Service Provider to Review and Finalise Narrative Content, Design, Manufacture, and Install Tourism Signage along the Wild Coast Hiking Trail",17/09/2025,23/09/2025,,,
Advertising and market research,TPT/2025/09/0006/105878/RFP,FOR THE SUPPLY OF RAILWAY MATERIAL ON AN AS AND WHEN REQUIRED BASIS FOR A PERIOD OF THIRTY-SIX (36) MONTH AGREEMENT FOR TRANSNET SOC LTD (REG. N0 1990/000900/30) OPERATING AS TRANSNET PORT TERMINALS RICHARDS BAY (HEREINAFTER REFERRED TO AS “TPT RCB”),17/09/2025,02/10/2025,,,
"Electricity, gas, steam and air conditioning",GMT001/25-26,GMT001/25-26-REQUEST FOR PROPOSAL (RFP) TO PROVIDE RENEWABLE ENERGY (IPP & TRADERS OR SIMILAR) BETWEEN (5 MVA AND 12 MVA) TO GEORGE MUNICIPALITY FOR A THREE-YEAR PERIOD.,17/09/2025,31/10/2025,,,
"Office administrative, office support and other business support activities",ZNQ 187/2025-F,"Appointment of service provider for loan book valuation, credit risk, impairment, collateral and legal enforceability assessment",17/09/2025,26/09/2025,,,
Administrative and support activities,C07/2025,C07/2025 - Supply and Delivery of Optimum AutoFeed 750X Automatic Cross Cut P4 Paper Shredder,17/09/2025,23/09/2025,,,
Disposals: General,OLT2128066,DISPOSAL - ESTABLISHMENT OF AN ENABLING AGREEMENT FOR THE DISPOSAL OF SCRAP CONTAMINATED BULK 150 FUEL OIL AND OTHER CONTAMINATED OIL FROM MACHINERY ON AN AS AND WHEN REQUIRED BASIS FOR A CONTRACT PERIOD OF 3 YEARS (01 OCTOBER 2025 TO 30 SEPTEMBER 2028) FROM ARNOT PS,17/09/2025,29/09/2025,,,
Services: General,CARTRIDGES SU7 (RH),"REQUEST FOR THE SUPPLY OF CONSUMABLES, WHEELS BLOEMFONTEIN, ONCE OFF PERIOD",17/09/2025,26/09/2025,,,
Information service activities,ICT01,REQUEST FOR INFORMATION (RFI) FOR SQL SERVER AUDITING AND DATABASE ACTIVITY MONITORING SERVICE,17/09/2025,16/10/2025,,,
"Arts, entertainment and recreation",004/MKLM/2025/2026,Annual Mauane arts festival event management services for a period of thirty-six (36) months,17/09/2025,20/10/2025,,,
Supplies: General,E1670GXMPCAMN,Publication of Names of Bidders in Respect of Advertised Competitive Bids Camden Power Station: SUPPLY AND DELIVERY OF CONSUMABLE MATERIALS TO CAMDEN POWER STATION FOR A PERIOD OF 60 MONTHS.,17/09/2025,17/10/2025,,,
Services: General,ADAE 10/2025,"Appointment of panel of service providers for the supply, delivery , offloading , installation / commissioning and maintenance of (i) Agro-processing Equipment (ii) Agricultural Machinery and Implements (iii) Agricultural Inputs (crop & livestock) within the province of KwaZulu-Natal for a period of 36 months.",17/09/2025,17/10/2025,,,
Services: Electrical,26/24/25 RE-AD,APPOINTMENT OF A SERVICE PROVIDER TO DEVIATE AN OVERHEAD MV LINE TO A 3-PHASE UNDERGROUND CABLE AND CONNECT TO MUNICIPAL MINISUBSTATION.,17/09/2025,07/10/2025,,,
Construction of buildings,03/25/26,SUPPLY AND INSTALLATION OF CLEARVEIW FENCE WITH GATES AT SUNDUMBILI COMMUNITY PARK IN WARD 14.,17/09/2025,07/10/2025,,,
Rental and leasing activities,RFQ-003 2025 009,Request for a Service provider to provide renovation at the Johannesburg building for a period of 1 Week starting from 22 – 27 September 2025 (Once-off),17/09/2025,19/09/2025,,,
Services: Electrical,04/25/26,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER PROTECTION SETTINGS ON 4 X RING MAIM UNITS (MRU).,17/09/2025,01/10/2025,,,
Supplies: General,05/25/26,"SUITABLY QUALIFIED AND EXPERIENCED SERVICE PROVIDER TO MANUFACTURE, SUPPLY, AND DELIVER A NEW FIRE ENGINE TRUCK.",17/09/2025,17/10/2025,,,
Supplies: General,DBN177/2025,SUPPLY AND DELIVERY OF GARDENING TOOLS TO DURBAN MANAGEMENT AREA,17/09/2025,19/09/2025,,,
