Category,Tender Number,Tender Description,Advertised,Closing,Organ Of State,Tender Type,Province,"Place where goods, works or services are required",Special Conditions,Contact Person,Email,Telephone number,FAX Number,Is there a briefing session?,Is it compulsory?,Briefing Date and Time,Briefing Venue,eSubmission,Two Envelope Submission,Source URL,Tender ID
Civil engineering,BSM 31/26,MAIN ROAD INTERSECTION IMPROVEMENT R44-R310 AND ALEXANDER JUNCTION,20/02/2026,30/03/2026,Stellenbosch Municipality,Request for Bid(Open-Tender),Western Cape,"Plein Street, Stellenbosch, Stellenbosch, 7690",Will be stipulated within the tender document.,Nigell Winter,Nigell.Winter@stellenbosch.gov.za,021-808-8222,N/A,Yes,Yes,,"at Erf 303, cnr of R44\R310 (Adam Tas Rd) and  Alexander Street, Stellenbosch Central",No,No,/tender/148278,148278
Education,SCMU: 14 - 2025/26,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR THE GAUTENG PROVINCE ON BEHALF OF THE GAUTENG DEPARTMENT OF EDUCATION: SHORT LEARNING SKILLLS PROGRAMMES: THERAPISTS,20/02/2026,18/03/2026,"Education, Training and Development Practices SETA",Request for Bid(Open-Tender),Gauteng,"112 MAIN STREET. 9th Floor, MARSHALLTOWN, JOHANNESBURG, 2094",The ETDP SETA will host a Non-Compulsory virtual briefing session for BID NO: SCMU: 14 - 2025/26 – Appointment of a suitably qualified service provider for the implementation of skills development programmes on behalf of the ETDP SETA: THERAPIST TRAINING on 06 March 2026 at 11h00 – 13h00. Access details will be available on www.etdpseta.org.za as from 04 March 2026 at 12h00. Kindly note that interested service providers may submit their questions until 09 March 2026 at 16h30. No further questions will be accepted after this date. We thank you for your cooperation.,Siphesihle Nzima,tenderers@etdpseta.org.za,011-372-3300,N/A,Yes,No,,virtual platform,No,No,/tender/148340,148340
Education,SCMU: 15 - 2025/26,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR THE GAUTENG PROVINCE ON BEHALF OF THE GAUTENG DEPARTMENT OF EDUCATION: SHORT LEARNING SKILLLS PROGRAMMES: GEOGRAPHY,20/02/2026,19/03/2026,"Education, Training and Development Practices SETA",Request for Bid(Open-Tender),Gauteng,"112 MAIN STREET. 9th Floor, MARSHALLTOWN, JOHANNESBURG, 2094",The ETDP SETA will host a Non-Compulsory virtual briefing session for BID NO: SCMU: 15 - 2025/26 – Appointment of a suitably qualified service provider for the implementation of skills development programmes on behalf of the ETDP SETA: Geography training on 09 March 2026 at 10h00 – 12h00. Access details will be available on www.etdpseta.org.za as from 04 March 2026 at 12h00. Kindly note that interested service providers may submit their questions until 10 March 2026 at 16h30. No further questions will be accepted after this date. We thank you for your cooperation.,Siphesihle Nzima,tenderers@etdpseta.org.za,011-372-3300,N/A,Yes,Yes,,virtual platform,No,No,/tender/148341,148341
Education,SCMU: 16 - 2025/26,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR THE GAUTENG PROVINCE ON BEHALF OF THE GAUTENG DEPARTMENT OF EDUCATION: SACE ENDORSED SKILLLS PROGRAMMES,20/02/2026,20/03/2026,"Education, Training and Development Practices SETA",Request for Bid(Open-Tender),Gauteng,"112 MAIN STREET. 9th Floor, MARSHALLTOWN, JOHANNESBURG, 2094",The ETDP SETA will host a Non-Compulsory virtual briefing session for BID NO: SCMU: 16 - 2025/26 – Appointment of a suitably qualified service provider for the implementation of skills development programmes on behalf of the ETDP SETA: SACE endorsed Skills Programmes on 09 March 2026 at 14h00 – 16h00. Access details will be available on www.etdpseta.org.za as from 04 March 2026 at 12h00. Kindly note that interested service providers may submit their questions until 10 March 2026 at 16h30. No further questions will be accepted after this date. We thank you for your cooperation.,Siphesihle Nzima,tenderers@etdpseta.org.za,011-372-3300,N/A,Yes,No,,virtual platform,No,No,/tender/148342,148342
Warehousing and support activities for transportation,CTICC 036/2026,Hire and Maintenance of Various Access and Lifting Platforms,20/02/2026,23/03/2026,Cape Town International Convention Centre,Request for Bid(Open-Tender),Western Cape,"1 Lower Long Street, Cape Town, Cape Town, 8001",N/A,MRS CHARLENE DE WAAL,charlened@cticc.co.za,021-410-5212,021-410-5001,Yes,Yes,,CTICC 2 Hall 8.1,No,No,/tender/148343,148343
Services: General,169S/2025/26,"PANEL OF LEGAL SERVICE PROVIDERS FOR CONVEYANCING SERVICES ON AN AS-ANDWHEN–REQUIRED BASIS
",20/02/2026,27/03/2026,City of Cape Town,Request for Bid(Open-Tender),Western Cape,"12 Hertzog Boulevard, Foreshore, Cape Town, 8000",N/A,SCM Department,SCM.Tenders26@capetown.gov.za,000-000-0000,N/A,Yes,No,,"MS Teams & Property Transactions  Main Boardroom, 4 Bay Side, Tower Block, Civic Centre, Cape Town",No,No,/tender/148344,148344
Services: General,FSDSD (T) 008/2025,APPOINTMENT OF SERVICE PROVIDER(S) TO PROVIDE CATERING AND RELATED SERVICES AT THE DEPARTMENTAL INSTITUTIONS ON BEHALF OF THE FREE STATE DEPARTMENT OF SOCIAL DEVELOPMENT FOR A PERIOD OF (03) THREE YEARS ,20/02/2026,13/03/2026,Free State - Social Development,Request for Bid(Open-Tender),Free State,"14 Merriam- Makeba Street Ground Floor, Bloemfontein, Bloemfontein, 9300","Contact person for Technical Enquiries	Ms. Cathrine Lebone  Tel 051 409 0615  	Cathrine.Lebone@fssocdev.gov.za

",Ms. Nthabiseng Senoko,Nthabiseng.Mabula@fssocdev.gov.za,051-409-0533,N/A,No,No,,,No,No,/tender/148345,148345
Services: Electrical,T 8/3/4-2026 (MN6-2026),"APPOINTMENT OF A SERVICE PROVIDER FOR THE SERVICING, MAINTENANCE, TESTING AND REPAIR OF DIESEL-POWERED STANDBY GENERATORS FOR A PERIOD ENDING 30 JUNE 2029 ",20/02/2026,23/03/2026,Bergrivier - WC Local Municipality,Request for Bid(Open-Tender),Western Cape,"13 Kerk Street, Piketberg, Piketberg, 7320",N/A,Jan Erasmus,erasmusj@bergmun.org.za,022-913-6000,N/A,No,,,,No,No,/tender/148346,148346
"Professional, scientific and technical activities",E2574GXMPGRO,Request for information on commercially available and/or proven technology for re-engineering of the OPC DA (Data Access) communication protocol for control systems that are impacted by the Microsoft security changes for systems using the Windows operating system and have the OPC classic architecture infrastructure based on DCOM based communication (where OEM support is no longer available as they have exited the business).,20/02/2026,06/03/2026,ESKOM,Request for Information,Mpumalanga,"Grootvlei Power Station, Grootvlei, Balfour, 2420","Tenders are uploaded via Eskom Tender bulletin site on the Eskom E- tendering page.
https://etendering.eskom.co.za / where the documents are uploaded. ",Manala Mabhena,MabhenMM@eskom.co.za,017-779-8789,N/A,No,No,,,No,No,/tender/148348,148348
Services: Professional,T 8/3/11-2026 (MN25-2026),APPOINTMENT OF A SERVICE PROVIDER TO COMPILE W2RAP’S FOR VARIOUS WASTEWATER SYSTEMS IN BERGRIVIER MUNICIPALITY,20/02/2026,06/03/2026,Bergrivier - WC Local Municipality,Request for Bid(Open-Tender),Western Cape,"13 Kerk Street, Piketberg, Piketberg, 7320",N/A,Wikus Burger,burgerw@bergmun.org.za,022-913-6000,N/A,No,No,,,No,No,/tender/148349,148349
Other service activities,E2595GXMPMAT,Provision of Cleaning Services on Ash Plant & Dust Plant at Matla Power Station for five (5) years,20/02/2026,18/03/2026,ESKOM,Request for Bid(Open-Tender),Mpumalanga,"1 Delmas Road, Kriel, Kriel, 1034",Tenders are to be submitted electronically via Eskom E- tendering site by the stipulated closing date and time.,Nkinshi Hlongwa,Hlongwns@eskom.co.za,017-799-3601,017-799-3601,Yes,No,,MS TEAMS,No,No,/tender/148351,148351
Services: General,TDR124/2025/2026,"THE INSTALLATION, STRIP, REPAIR AND MAINTENANCE OF IRRIGATIONS SYSTEMS FOR MOSSEL BAY MUNICIPALITY",20/02/2026,27/03/2026,Mossel Bay Municipality,Request for Bid(Open-Tender),Western Cape,"101 Marsh Street, Mossel Bay, Mossel Bay, 6606","The tender is subject to functionality criteria.
Bids will be pre-evaluated on the following functionality criteria and bids that score less than 50 out of 60 points will be considered as non-responsive:
Functionality criteria and weight:
1. Company (or JV) Experience carrying a weight of 45 points.
2. References related to experience carrying a weight of 15 points.",Deslin Kohler,dkohler@mosselbay.gov.za,044-606-5192,000-000-0000,No,No,,,No,No,/tender/148352,148352
Services: General,167S/2025/26,THE PROVISION OF AUGMENTARY EMPLOYEE ASSISTANCE PROGRAMME (EAP) SERVICES FOR EMPLOYEES OF THE CITY OF CAPE TOWN.,20/02/2026,24/03/2026,City of Cape Town,Request for Proposal,Western Cape,"12 Hertzog Boulevard, 2nd Floor (Concourse Level), Civic Centre, Cape Town : Cape Town Civic Centre, 8001",N/A,City of Cape Town,SCM.tenders5@capetown.gov.za,000-000-0000,000-000-0000,Yes,No,,HTTPS://TEAMS.MICROSOFT.COM/MEET/31568132975859?P=XSUSZUHTTLR5TLLRRA PASSCODE: O8QP29OW MEETING ID: ,No,No,/tender/148353,148353
Advertising and market research,ZNQ 131/25/26,"The appointment of a Print Media Company to Advertise Departmental vacancies in Newspapers for a period of Two Months for KwaZulu Natal Department of Public Works & Infrastructure Head Office at 191 Prince Alfred Street, Oliver Tambo house, Pietermaritzburg 3200",20/02/2026,26/02/2026,Kwazulu Natal - Public Works (Head Office),Request for Bid(Open-Tender),KwaZulu-Natal,"191 Prince Alfred Street, Pietermaritzburg, Pietermaritzburg, 3200",N/A,Ms. S Zondi,samke.zondi@kznworks.gov.za,033-260-5493,000-000-0000,No,No,,,No,No,/tender/148354,148354
Civil engineering,R.040-060-2020-1R,"THE RESURFACING OF NATIONAL ROUTE R40 SECTION 6 FROM HOEDSPRUIT (KM 0,00) TO R526 INTERSECTION (KM 32,02) ",20/02/2026,27/03/2026,South African National Roads Agency Soc Limited (SANRAL),Request for Proposal,Limpopo,"38 Ida Street, Menlo Park, Pretoria, 0081","Only tenderers who are a CIDB contractor grading of 9CE or higher as stated on the Tender Data may submit tender offers.

Tenders from tenderers registered as potentially emerging enterprises with a CIDB contractor grading designation lower than a contractor grading designation required for this tender, will not be accepted. 
 
Only tenderers who are registered on the National Treasury Central Supplier Database are eligible to tender.
",Procurement Officer,ProcurementWR9@sanral.co.za,021-957-4600,N/A,Yes,Yes,,Join: https://teams.microsoft.com/meet/39658208408498?p=9BOD9MoKGMFYn3kBPt  Meeting ID: 396 582 084 ,No,No,/tender/148355,148355
Construction,NLM-EXT-25/022,Request for quotation to supply and installing of grout and refractory lining on 1x4ton induction furnace for non-ferrous material,20/02/2026,06/03/2026,South African Nuclear Energy Corporation Limited,Request for Quotation,North West,"R104 Elias Motsoaledi Street (Church Street West Ext), Pelindaba, Pelindaba, 0204",N/A,Thulile Sokhela,thulile.sokhela@ntp.co.za,012-305-5637,N/A,No,No,,,No,No,/tender/148356,148356
Administrative and support activities,8/3-19/2024        .,Invitation of a service provider for appointment of a panel of forensic investigators as and when required for a period of 36 months. (Re-advert),20/02/2026,23/03/2026,Msukaligwa Local Municipality,Request for Bid(Open-Tender),Mpumalanga,"Cnr Taute and Kerk Street , Civic Centre, Ermelo, 2351",N/A,Eccaboth Ndlovu,endlovu@msukaligwa.gov.za,017-801-3542,N/A,No,No,,,No,No,/tender/148357,148357
Repair and installation of machinery and equipment,161S/2025/26,"Statutory inspection, testing, servicing and repair of Pressure Equipment ",20/02/2026,24/03/2026,City of Cape Town,Request for Bid(Open-Tender),Western Cape,"12 Hertzog Boulevard, Cape Town - Civic Centre, Cape Town, 8000","MS Teams: https://teams.microsoft.com/meet/31182342800564?p=StyAa3kvF2QlxMsdvBMeeting ID: 311 823 428 005 64, passcode: Qv2dN9Ts. ",SCM Tenders 22,SCM.Tenders22@capetown.gov.za,000-000-0000,N/A,Yes,Yes,,"Meeting ID: 311 823 428 005 64, passcode: Qv2dN9Ts.",No,No,/tender/148358,148358
Construction,166Q/2025/26,"New Water Program: Cape Flats Aquifer - BUILD TO COMPLETION OF PARTIALLY COMPLETE SERVICE BUILDING AT STRANDFONTEIN WEST WATER TREATMENT PLANT, PUNT ROAD, CAPE TOWN.",20/02/2026,25/03/2026,City of Cape Town,Request for Bid(Open-Tender),Western Cape,"Cape Town Civic Centre Building, 12 Hertzog Boulevard, Foreshore, Cape Town, 8000",N/A,Nyasha Shango,nyasha.shango@capetown.gov.za,021-400-5181,000-000-0000,Yes,Yes,,"3 Punt Road, erf no 2272, Phillipi South Latitude: 34°04'15.72""S Longitude: 18°32'35.92""E",No,No,/tender/148359,148359
Education,SCMU: 17 - 2025/26,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR THE GAUTENG PROVINCE ON BEHALF OF THE GAUTENG DEPARTMENT OF EDUCATION: SHORT LEARNING SKILLLS PROGRAMMES: SOCIAL SCIENCE AND LIFE ORIENTATION,20/02/2026,23/03/2026,"Education, Training and Development Practices SETA",Request for Bid(Open-Tender),Gauteng,"112 MAIN STREET. 9th Floor, MARSHALLTOWN, JOHANNESBURG, 2094",The ETDP SETA will host a Non-Compulsory virtual briefing session for BID NO: SCMU: 17 - 2025/26 – Appointment of a suitably qualified service provider for the implementation of skills development programmes on behalf of the ETDP SETA: Social Science and Life Orientation on 11 March 2026 at 14h00 – 16h00. Access details will be available on www.etdpseta.org.za as from 09 March 2026 at 12h00. Kindly note that interested service providers may submit their questions until 12 March 2026 at 16h30. No further questions will be accepted after this date. We thank you for your cooperation.,Siphesihle Nzima,tenderers@etdpseta.org.za,011-372-3300,N/A,Yes,No,,virtual platform,No,No,/tender/148360,148360
Specialised construction activities,E2518GXMPMAJ,"DESIGN, SUPPLY, INSTALLATION, TESTING, COMMISSIONING AND A TWO (2) YEAR OPERATING AND MAINTENANCE OF A 45MWac SOLAR PHOTOVOLTAIC (PV) PLANT AT MAJUBA POWER STATION.",19/02/2026,31/03/2026,ESKOM,Request for Proposal,Mpumalanga,"Majuba Power Station, Volksrust, N11, Volksrust, Mpumalanga, 2470",The enquiry documents are supplied to you on the following basis: Free of charge.  The tender is advertised on the Eskom Tender Bulletin - eTendering site (www.eskom.co.za. The interested bidders may download the RFP document from the official website (www.eskom.co.za) Eskom Tender Bulletin. A valid Construction Industry Development Board (CIDB) contractor grading designation of 8EP (Electrical Engineering works) or higher is required. Only tenderers who Meets the Technical Mandatory Criteria as stated in the RFP document. are eligible to submit tenders.,Cyril Ntshonga,cyril.ntshonga@eskom.co.za,011-800-4691,N/A,Yes,No,,Microsoft Teams meeting  Join: https://teams.microsoft.com/meet/ ?p=oeRQ2dAbIBT6SbKMxj ,No,No,/tender/147848,147848
Services: Electrical,ED 1/2026,"REPAIR AND MAINTENANCE OF ELECTRICAL INFRASTRUCTURE AND ASSOCIATED WORKS FOR THE PERIOD ENDING 30 JUNE 2029
",19/02/2026,26/03/2026,Drakenstein Municipality,Request for Bid(Open-Tender),Western Cape,"Drakenstein Municipality, Paarl, Paarl, 7646",N/A,Mr D Gabriels,davidg@drakenstein.gov.za,021-807-4682,N/A,No,No,,,No,No,/tender/148108,148108
Other service activities,INC 2/2026,PROVISION AND DELIVERY OF AN ELECTRONIC METER READING SYSTEM AND APPARATUS FOR THE 01 JULY 2026 TILL 30 JUNE 2029,19/02/2026,12/03/2026,Drakenstein Municipality,Request for Bid(Open-Tender),Western Cape,"Drakenstein Municipality, Paarl, Paarl, 7646",N/A,Mr H Smith,Hilton.Smith@drakenstein.gov.za,021-807-6344,N/A,Yes,Yes,,"Council Chambers at Civic  Centre, 1st Floor, Berg River Boulevard, Paarl",No,No,/tender/148110,148110
Repair and installation of machinery and equipment,TSPM 8/2025,Suppliers offering to supply and install new refuse compactor tailgates units and/or bin lifters and refurbishment thereof and lifter parts for a period up to 30 June 2029 ,19/02/2026,19/03/2026,Drakenstein Municipality,Request for Bid(Open-Tender),Western Cape,"Drakenstein Municipality, Paarl, Paarl, 7646",N/A,Mr W Nieuwoudt ,Willie@drakenstein.gov.za,021-807-4709,N/A,No,No,,,No,No,/tender/148112,148112
Other service activities,API01REQ006049,"Provision of Translation Services from English to Tshivenda, Isizulu, Xitsonga, Sepedi and Isixhosa. ARC-AP Irene",19/02/2026,25/02/2026,Agricultural Research Council,Request for Quotation,Gauteng,"Old Olifantsfontein Road, Irene, Irene, 0062",N/A,Ngoako Waleng,WalengN@arc.agric.za,012-672-9291,000-000-0000,No,No,,,No,No,/tender/148188,148188
Other service activities,E2492DXKZN,"The provision of legislative lifting machines operations (LMO) training for the Central East Cluster (KZN and Free State Operating Unit) on an as and when required basis, for a period of thirty – six (36) months",19/02/2026,13/03/2026,ESKOM,Request for Bid(Open-Tender),KwaZulu-Natal,"Various, Various, Various",Please refer to the technical folder and the NEC3 Term Services Contract for the specific locations where services is required.,Seela Pillay,Pillayls@eskom.co.za,031-710-5285,N/A,Yes,No,,https://teams.microsoft.com/meet/32303175405878?p=wUvTAZB6aoPZyOOonP,No,No,/tender/148189,148189
Construction,E2173DXECBidders,"Bidders list for Installation of smart meters, data concentrators and bulk load limiting devices for the
various Zones within the Cape Coastal Cluster (Eastern Cape) on an “as and when”
required basis for a period of 3 years.",19/02/2026,06/03/2026,ESKOM,Participation,Eastern Cape,"Eskom sunnilaws office park, Beacon Bay, East London, 5241",N/A,Nosiphiwo Mntimba,MntimbN@eskom.co.za,043-703-5454,N/A,No,No,,,No,No,/tender/148190,148190
Supplies: General,E2558GXLPMAT,"SUPPLY AND DELIVERY OF METERS, TRANSDUCERS AND SWITCHES TO MATIMBA POWER STATION OVER A PERIOD OF FIVE (5) YEARS ON AN AS-AND-WHEN REQUIRED",19/02/2026,13/03/2026,ESKOM,Request for Bid(Open-Tender),Limpopo,"NELSON MANDELA DRIVE, Matimba Power Station, LEPHALALE, 0555",N/A,Mabuse Erick Maila,mailame@eskom.co.za,014-763-8816,N/A,Yes,No,,Microsoft Teams,No,No,/tender/148191,148191
"Water collection, treatment and supply",ENG 01/2026/27,"PROVISION OF SERVICES: TAKING OF WATER AND SEWERAGE SAMPLES, ANALYSING, AND MONITORING IT IN BOTRIVIER, CALEDON, TESSELAARSDAL, GENADENDAL, GRABOUW, GREYTON, RIVIERSONDEREND AND VILLIERSDORP FOR THE PERIOD FROM 01 JULY 2026 TO 30 JUNE 2029",19/02/2026,13/03/2026,Theewaterkloof Municipality,Request for Proposal,Western Cape,"CALEDON, CALEDON, CALEDON, 7230",N/A,Roseine Myburgh,roselinemy@twk.gov.za,028-214-3300,028-214-3300,No,No,,,No,No,/tender/148192,148192
Services: Functional (Including Cleaning and Security Services),Q75–2025-26, BASIC SECURITY  TRAINING PROGRAMME FOR 20 EPWP PARTICIPANTS,19/02/2026,26/02/2026,Endumeni Local Municipality,Request for Quotation,KwaZulu-Natal,"64 VICTORIA STREET, DUNDEE, DUNDEE, 3000",BIDDERS TO SIGN DROP OFF REGISTER WHEN SUBMITTING QUOTATION DOCUMENT,MISS S THANGO,thangos@endumeni.goz.za,034-212-2121,N/A,No,No,,,No,No,/tender/148193,148193
Information and communication,RFQ NHC/2025/26/048,LICENSE RENEWAL FOR COLLABORATION TOOLS: MICROSOFT 365 STANDARD AND TEAMS ROOM LICENSE FOR A PERIOD OF 2 YEARS,19/02/2026,27/02/2026,National Heritage Council of South Africa,Request for Quotation,National,"2ND FLOOR BUILDING 3, SUMMIT PLACE BUSINESS PARK, 221 FARSFONTEIN ROAD,, MENLYN, National Heritage Council, 0081",N/A,Ms. Bongiwe Mthombeni,procurement@nhc.org.za,012-748-3910,N/A,No,No,,,No,No,/tender/148194,148194
Supplies: Electrical Equipment,IYM08/01/2026Q,SUPPLY AND DELIVERY OF ELECTRICAL CABLE FOR THE MIDDELBURG UNIT. ,19/02/2026,26/02/2026,Inxuba Yethemba Local Municipality,Request for Quotation,Eastern Cape,"NO 1 CALATA STREET, CRADOCK, CRADOCK, 5880",N/A,Ms. T. Petelo,tpetelo@iym.gov.za,048-801-5059,N/A,No,No,,,No,No,/tender/148195,148195
Manufacture of furniture,RFQ NHC/2025/26/049,PROCUREMENT OF BULK FILERS x 3 AND REPAIRS OF THE EXISTING BULKFILER,19/02/2026,02/03/2026,National Heritage Council of South Africa,Request for Quotation,National,"2ND FLOOR BUILDING 3, SUMMIT PLACE BUSINESS PARK, 221 FARSFONTEIN ROAD,, MENLYN, National Heritage Council, 0081",N/A,Mr. SIPHELELE SKENJANA,procurement@nhc.org.za,012-748-3910,N/A,Yes,Yes,,National Heritage Council Offices,No,No,/tender/148196,148196
