#,description
ZNQ 131/25/26,"The appointment of a Print Media Company to Advertise Departmental vacancies in Newspapers for a period of Two Months for KwaZulu Natal Department of Public Works & Infrastructure Head Office at 191 Prince Alfred Street, Oliver Tambo house, Pietermaritzburg 3200"
R.040-060-2020-1R,"THE RESURFACING OF NATIONAL ROUTE R40 SECTION 6 FROM HOEDSPRUIT (KM 0,00) TO R526 INTERSECTION (KM 32,02)"
NLM-EXT-25/022,Request for quotation to supply and installing of grout and refractory lining on 1x4ton induction furnace for non-ferrous material
8/3-19/2024        .,Invitation of a service provider for appointment of a panel of forensic investigators as and when required for a period of 36 months. (Re-advert)
161S/2025/26,"Statutory inspection, testing, servicing and repair of Pressure Equipment"
166Q/2025/26,"New Water Program: Cape Flats Aquifer - BUILD TO COMPLETION OF PARTIALLY COMPLETE SERVICE BUILDING AT STRANDFONTEIN WEST WATER TREATMENT PLANT, PUNT ROAD, CAPE TOWN."
SCMU: 17 - 2025/26,TERMS OF REFERENCE FOR THE IMPLEMENTATION OF SKILLS DEVELOPMENT PROGRAMMES FOR THE GAUTENG PROVINCE ON BEHALF OF THE GAUTENG DEPARTMENT OF EDUCATION: SHORT LEARNING SKILLLS PROGRAMMES: SOCIAL SCIENCE AND LIFE ORIENTATION
E2518GXMPMAJ,"DESIGN, SUPPLY, INSTALLATION, TESTING, COMMISSIONING AND A TWO (2) YEAR OPERATING AND MAINTENANCE OF A 45MWac SOLAR PHOTOVOLTAIC (PV) PLANT AT MAJUBA POWER STATION."
ED 1/2026,REPAIR AND MAINTENANCE OF ELECTRICAL INFRASTRUCTURE AND ASSOCIATED WORKS FOR THE PERIOD ENDING 30 JUNE 2029
INC 2/2026,PROVISION AND DELIVERY OF AN ELECTRONIC METER READING SYSTEM AND APPARATUS FOR THE 01 JULY 2026 TILL 30 JUNE 2029
TSPM 8/2025,Suppliers offering to supply and install new refuse compactor tailgates units and/or bin lifters and refurbishment thereof and lifter parts for a period up to 30 June 2029
API01REQ006049,"Provision of Translation Services from English to Tshivenda, Isizulu, Xitsonga, Sepedi and Isixhosa. ARC-AP Irene"
E2492DXKZN,"The provision of legislative lifting machines operations (LMO) training for the Central East Cluster (KZN and Free State Operating Unit) on an as and when required basis, for a period of thirty – six (36) months"
E2173DXECBidders,"Bidders list for Installation of smart meters, data concentrators and bulk load limiting devices for the
various Zones within the Cape Coastal Cluster (Eastern Cape) on an “as and when”
required basis for a period of 3 years."
E2558GXLPMAT,"SUPPLY AND DELIVERY OF METERS, TRANSDUCERS AND SWITCHES TO MATIMBA POWER STATION OVER A PERIOD OF FIVE (5) YEARS ON AN AS-AND-WHEN REQUIRED"
ENG 01/2026/27,"PROVISION OF SERVICES: TAKING OF WATER AND SEWERAGE SAMPLES, ANALYSING, AND MONITORING IT IN BOTRIVIER, CALEDON, TESSELAARSDAL, GENADENDAL, GRABOUW, GREYTON, RIVIERSONDEREND AND VILLIERSDORP FOR THE PERIOD FROM 01 JULY 2026 TO 30 JUNE 2029"
Q75–2025-26,BASIC SECURITY  TRAINING PROGRAMME FOR 20 EPWP PARTICIPANTS
RFQ NHC/2025/26/048,LICENSE RENEWAL FOR COLLABORATION TOOLS: MICROSOFT 365 STANDARD AND TEAMS ROOM LICENSE FOR A PERIOD OF 2 YEARS
IYM08/01/2026Q,SUPPLY AND DELIVERY OF ELECTRICAL CABLE FOR THE MIDDELBURG UNIT.
RFQ NHC/2025/26/049,PROCUREMENT OF BULK FILERS x 3 AND REPAIRS OF THE EXISTING BULKFILER
COM19/2026,"SUPPLY, DELIVERY, OFF-LOADING AND ASSEMBLING OF OFFICE FURNITURE FOR CITY OF MBOMBELA"
COM23/2026,APPOINTMENT OF A SERVICE FOR SUPPLY AND DELIVERY OF CAR WASH SUPPORT MATERIALS AND EQUIPMENT FOR CITY OF MBOMBELA
RFP/RAD/2025/10243661/27,APPOINTMENT OF A SERVICE PROVIDER FOR THE HYBRID VAN REPLACEMENT
NKA/COR04/25/26,PROVISION OF PAYROLL SYSTEM
RFQ/SAEON/ELWANDLE/DIVE GEAR SERVICING /201/2025,APPOINTMENT OF A SERVICE PROVIDER TO SERVICE DIVE GEAR AND SUPPLY SPARES
RFQ/ROADFAR/001/2025,Hiring of Construction Grader and TLB to work around Far North SAFCOL Plantations. (Re-advert)
RFQJW033NS26,Creative Cloud for teams
RFQ/ROADKOWYN/001/2025,Hiring of Construction Grader and TLB around Kowyn SAFCOL Plantations as and when required (Wet Rate) (RE-ADVERT)
10416935,"SUPPLY: PCR PRIMERS AND PROBES FOR DETECTION OF CTXA GENE, DETECTION OF NITRIFYING MICROORGANISMS, DETECTION OF ADENO VIRUSES AND DETECTION OF CRYPTOSPORODIUM AND GIARDIA AT ANALYTICAL SERVICE - MICROBIOLOGY LABORATORY"
RFQ/25/26/170,ORKNEY POST OFFICE - PROPERTY REPAIRS
E2580NTCSANG,"Invitation to Tender for the supply and delivery of PPE Work Wear, Personal Protection Equipment and Accessories to NTCSA Northern Grid on an as and when required basis over a period of three (3) years.

A non-compulsory clarification meeting with representatives of NTCSA will be held online:

Date:27 February 2026
Time: 09h00-12h00
Online through MS Team 

Team Meeting Link attached separately 

Tenderers must confirm their intention to attend with the NTCSA Representative, stating the name, position and contact details of each proposed attendee. E-mail: BaloyiAT@ntcsa.co.za 

Furthermore, bidders are requested to send electronic mails for any enquiries related to the bid. 
Send email to BaloyiAT@ntcsa.co.za"
ULM-INFR 007/26,CONSTRUCTION OF WARD 18 SPORTFIELD (MAGWALA)
ULM-INFR 008/26,SURFACING OF IBISI ROADS PHASE 5 IN WARD 11
RFQJW036NS26,Supply and delivery of Projector Portable XGA Projector Olifantsvlei
PR10114464,The Road Accident Fund (RAF) wishes to appoint an Ophthalmologist to conduct a detailed clinical examination of a motor vehicle accident claimant
API01REQ006160,"Removal, supply and installation of window shutters for boardrooms. ARC-AP Irene"
QUOTATION No. Q12/1269 OF 25/26,APPOINTMENT OF A SERVICE PROVIDER: KITCHEN REFURBISHMENT FOR THE LAND SURVEYING DEPARTMENT (PROFESSOR NYEMBEZI BUILDING 4TH FLOOR)
GMT038/25-26,Appointment of a Service Provider for Amendment of the George Municipal Spatial Development Framework 2023 as a core component of the Integrated Development Plan.
QUOTATION No. Q12/1294 OF 25/26,APPOINTMENT OF A SERVICE PROVIDER: REPAIRS AND MAINTENANCE TO PUBLICITY PUBLIC TOILETS
RFQJW037NS26,Cisco Network Equipment
NRF/CORP EM RFQ 103/2025-26,"APPOINTMENT OF A 1SF OR HIGHER CIDB GRADE SERVICE PROVIDER TO 
SERVICE ALL FIRE EQUIPMENT FOR THE NATIONAL RESEARCH FOUNDATION 
PREMISES IN PRETORIA, BRUMMERIA FOR A PERIOD OF THIRSTY SIX (36) 
MONTHS"
FIN01/2025/26,"REQUEST FOR PROPOSALS FOR THE COMPILATION OF ANNUAL FINANCIAL STATEMENTS AND GRAP, CIDMS AND MSCOA COMPLIANT ASSET REGISTER FOR THE 2025/26; 2026/27 AND 2027/28 FINANCIAL YEARS"
RFQ12162,THE COMPLETION OF SHADED PARKING REPLACEMENT PROJECT AT KING PHALO AIRPORT
RFQJW035NS26,Queue Management System
IHLM/33/2025-26/ADMIN_,TOUR GUIDE TRAINING SERVICES
E2589CXMWP,"E2589CXMWP-PROVISON OF RESOURCING OF ACOUSTIC UPGRADE OF ONE STUDIO WITH NO- AIR BROADCASTING EQUIPMENT, PRODUCTION EQUIPMENT, INSTALLATION, AND TRAINING FOR FIVE MONTHS"
IHLM/82/2025-26/CORP_,GRAPHIC DESIGN TRAINING SERVICES
RFQJW039NS26,Supply and delivery of Zebra TC22 Mobile Computers  scanner or equivalent
KSIA8031/2025/RFP,BID REQUEST FOR THE PROCUREMENT OF A PRINCIPAL CONTRACTOR FOR THE REFURBISHMENT OF SLIDING DOORS AT KING SHAKA INTERNATIONAL AIRPORT
IHLM/68/2025-26/MM'S_,FRAUD HOTLINE SERVICES FOR A PERIOD OF 36 MONTHS
RFQ/FIN/051/2025,APPOINTMENT OF A SERVICE PROVIDER FOR THE AUCTION OF SIX (6) CATHSSETA MOTOR VEHICLES
IHLM-133/2025-26/PLAN,NKULULEKWENI SETTLEMENT TOPOGRAPHIC SURVEY UNDER INGQUZA HILL LM
IHLM-132/2025-26/PLAN,THE REPLANNING OF NKULULEKWENI SETTLEMENT UNDER INGQUZA HILL LM
JWCHR002/24R,"PROVISION OF RAPID DEPLOYMENT OF SPECIALISED TACTICAL ARMED RESPONSE. ARMOURED VEHICLES, ESCORT SERVICES, AND CLOSE PROTECTION SERVICES ON AS AND WHEN REQUIRED BASIS FOR A PERIOD OF THIRTY SIX MONTHS"
10367747,SUPPLY AND DELIVER OF MAINT CONSUM PLOTTERS
JWCHR004/25,BUSINESS SUPPORT FOR THE MAINTENANCE OF THE HUMAN RESOURCES SAP PAYROLL AND INFORMATION SYSTEMS FOR A PERIOD OF THIRTY SIX MONTHS
RFQJW041NS26,Supply and Deliver Bell 2106E and Doosan Mega 400V  Service kits
RFQJW042NS26,Supply 4x Elite 750 Walk behind Mowers Service Kits
CMS03/2025/26.,Request for Proposals for the appointment of a service provider for replacement of the Complaints Management Solution
RFQJW043NS26,SUPPLY AND DELIVER BATTERIES FOR YELLOW MACHINES (NORTHERN WORK AND DRIEFONTEIN)
RFX6000003283,Media Monitoring Services
RFQ202526/99,REQUEST FOR PROPOSALS FROM SERVICE PROVIDERS TO PROVIDE TRADE & INVESTMENT KWAZULU-NATAL WITH ISO 9001:2015 INTERNAL AUDIT CONSULTANT AND INTRODUCTION TO ISO 9001: 2015 ONLINE TRAINING TO TIKZN.
RFX 60000003282,Supply and delivery of one ASI/SDI/IP Transport Stream Analyser for the NOC
RFQJW044NS26,SAFETY SGNAGES
D28 of 2025/26,D28 OF 2025/26: EMERGENCY GROUNDWATER SUPPLY PROJECT – CONNECTING INFRASTRUCTURE AND CIVIL WORKS
ERI2025TSS19,TENDER VALIDITY EXTENSION: REFURBISHMENT OF CABLING AND STRINGING IN SUBSTATIONS SERVICES CONTRACT FOR A PERIOD OF 3 YEARS.
RFQJW045NS26,Winscribe Software Maintenance and Support
NRWDI/COMM/2025-10,SUPPLY AND DELIVERY OF PROMOTIONAL ITEMS
D29 of 2025/26,D29 OF 2025/26: EMERGENCY BULK WATER SUPPLY PROJECT – KNYSNA REFURBISHMENT OF AKKERKLOOF DAM PUMPSTATION
RTD 13-2025/26,Tender for the appointment of a contractor for the upgrading of pegasus canal in Equestria for a period of 12 months
D30 of 2025/26,D30 OF 2025/26: EMERGENCY BULK WATER SUPPLY PROJECT – KNYSNA REFURBISHMENT OF GOUNA PUMPSTATION
WSBU 15-2025/26,Tender for the appointment of a contractor for the refurbishment of bronkhorstspruit water treatment plant for a period of twenty-four (24) months
GPM 21-2025/26,"Tender for the leasing of rent-free office space in Region 1, inclusive of office space and parking facilities, for a period of five years."
D31 OF 2025/26,D31 OF 2025/26: EMERGENCY BULK WATER SUPPLY PROJECT – KNYSNA REFURBISHMENT OF CHARLESFORD AND EASTFORD PUMPSTATIONS
RFQ/CMS/ITT/030126,"Appointment of Bidders for the Provision of an online research platform to support CMS in accessing clinical protocols, scientific articles, and related evidence-based reports for twelve months"
PR10114488,The Road Accident Fund (RAF) wishes to appoint a Neurosurgeon to conduct a detailed clinical examination of two (2) motor vehicle accident claimants
FORMAL TENDER: TD 05/02/2026,FORMAL TENDER: TD 05/02/2026: SUPPLY AND DELIVERY OF LED STREETLIGHT LUMINAIRES FOR A PERIOD ENDING 30 JUNE 2028
COJ0097-25/26,"THE APPOINTENT OF A SUITABLE SERVICE PROVIDER TO CONDUCT ENVIRONMENTAL IMPACT ASSESSMENT (EIA) FOR EIKENHOF FARM, CITY OF JOHANESBURG MUNICIPALITY."
TNC/HS/22/2026,Appointment of a service provider to provide Hygiene Service to Tshwane North TVET College
E0126LSERI,"Eskom Holdings SOC Ltd (hereinafter “Eskom”) invites you to submit a tender for the Provision of
A Class A Facility for the Treatment and Disposal of Hazardous Waste on an ‘As and When’
Basis for a Period of 5 Years."
E2465GXMPKOMBidders,"List of Bidders: Refurbishment of the Dining Hall
(Conference Facility), Foyer, and
Sinobuntu Boardroom at Komati
Power Station"
AD00109,TENDER SALE OF STEEL AND CONCRETED PIPES
CIA RFQ 72797,APPOINTMENT OF MAINTENANCE CONTRACTOR TO UNDERTAKE PAPI’s VERIFICATION AND CALIBRATION AT CAPE TOWN INTERNATIONAL AIRPORT FOR A PERIOD OF 3 YEARS
E2332GXMPKOMBidders,"List of Bidders: SUPPLY AND DELIVERY OF HERBICIDE LIQUID HAZARDOUS (MG/L,20L)."
RT 15 2021 - ECDOH,RFQ - MOBILE COMMUNICATIONS SOLUTION
E2332GXMPKOMBids,"List of Bidders: SUPPLY AND DELIVERY OF HERBICIDE LIQUID HAZARDOUS (MG/L,20L)."
RFQ-223B-25,Appointment of a Service Provider to Conduct TOTAL REWARD Audit
E2579CXMWP,The Independent Valuation of the Tangible Fixed Assets in Operation
SSA10023901,Supply and Delivery of Jackets to the State Security Agency.
RFQJW20SC26,RFQJW20SC26 - Supply and Delivery of Electrical Spares (Waterval)
SSA10023907,Supply and Delivery of Consumables to the State Security Agency.
SSA10023925,Supply and Delivery of Consumables to the State Security Agency.
MPKUS11252GX regret,REGRET  - SY2A&B ROOF CANOPY INSTALLATION PROJECT FOR A PERIOD OF 12 MONTHS AT KUSILE POWER STATION MPKUS11252GX
E2577GXMPKUS,Cleaning and Removal of Hazadous Waste for Chemical Services Plant at Kusile Power Station on as and When Required for a Period of Five (5) Years
SSA10023937,Supply and Delivery of Consumables to the State Security Agency.
RFQ10540,REQUEST FOR QUOTATION FOR THE PROVISION OF MAINTENANCE AND REPAIRS OF SOLAR PLANT AT AIRPORTS COMPANY SOUTH AFRICA FOR A PERIOD OF 5 YEARS FOR GEORGE AIRPORT
RFQ 201917,Supply and Delivery of Goods
RFQ00027,Appointment of  service provider to render professional recruitment services at the Mining Qualifications Authority
RFQ2026/041,Prospective service providers are hereby requested to quote on the supply and delivery of grass cutting machine at 21 BATTALION CLC as per the attached Annexure “A and B”.
RFQ NO: 88/2025,APPOINTMENT OF A SERVICE PROVIDER TO SUPPLY AND DELIVER DIRECTIVE AND INSPECTION RECORD BOOKS TO THE PRETORIA NRCS OFFICES
45/2026,REQUEST FOR QUOTE (RFQ): COMPLETION OF 1.4 KM MOTTO BARBED WIRE FENCE AT 1.4M HEIGHT ON ERF 746 PRT 62 SEA VISTA
PR10114519,The Road Accident Fund (RAF) wishes to appoint a suitable service provider to provide pest control services to RAF Johannesburg Office.
EWK07,REMOVAL OF BEE HIVES FROM STRUCTURES/CONTAINERS FROM CONSTRUCTION EAST MIDMAR DAM
E0426TSSERI,"The Inspection, load testing, service and repairs to all T&SS lifting equipment and
tackle for 5 years"
RFQ149/2025,RFQ149/2025 Mini Lever Hoist
E2551DXLPMP,Supply and delivery of gaskets used during transformers maintenance and repairs within Limlanga Cluster on an “as and when “required basis for (05) five years.
SMQ50/25/26,SUPPLY AND DELIVERY OF ELECTRICAL TEST EQUIPMENT TO SWELLENDAM MUNICIPALITY
RFQJW21SC26,RFQJW21SC26 - Supply and Delivery of Electrical Spares (Poortview)
PR10114495,The Road Accident Fund (RAF) wishes to appoint a suitable service provider to provide Security Guarding Services at the RAF Kimberley Customer Service Centre for a period not exceeding six (6) months.
RFQ2026/040,Prospective service providers are hereby requested to quote on the supply and delivery of Ryobi Generators at 21 BATTALION CLC as per the attached Annexure “A and B”
SMQ52/25/26,SUPPLY AND DELIVERY OF SEWER INSPECTION CAMERAS AND FIRE HOSE PRESSURE TESTERS
RFQ202526/108,APPOINTMENT OF A SERVICE PROVIDER TO REFILL AND DELIVER PURIFIED WATER FOR TRADE & INVESTMENT KWAZULU-NATAL.
RFP/CMS/OCEO/02/02/26..,"Appointment of a Service Provider to facilitate training of the CMS Information, Communication and Technology (ICT) Committee"
RFQJW05ZZ26,Supply and Deliver Battery Chargers and UFM Cable
SMQ48/25/26,REFURBISHMENT OF KITCHEN AND BEDROOM CUPBOARDS FOR MUNICIPAL HOUSE AT KLIPPERIVIER WWTW
Q 45 EDTEA 25/26,"APPOINTMENT OF A SERVICE PROVIDER  TO RENDER TRAINING OF FOUR ACCREDITED UNIT STANDARDS NAMELY: (A) COMPLY WITH GOOD HOUSEKEEPING PRACTICES, SAQA ID (117416): (B) READ AND INTERPRET BASIC ENGINEERING DRAWINGS, SAQA ID (117244); (C) APPLY HEALTH AND SAFETY TO A WORK AREA, SAQA ID (9964); AND (D) COVER PREPARED FRAME USING BASIC UPHOLSTERY HAND TOOLS, SAQA ID ( 117150) FOR A PERIOD OF 3 MONTHS."
RFQ/CMS/COM/02/02/2026,Appointment of a Service Provider service to deliver a comprehensive online RSVP and conference registration solution for the upcoming Indaba
SMQ44/25/26,PROVISION OF VARIOUS SMALL WORKS IN SWELLENDAM
CIA RFP 7622-2025,THE APPOINTMENT OF A UPS MAINTENANCE CONTRACTOR AT CAPE TOWN INTERNATIONAL AIRPORT FOR A PERIOD OF 60 MONTHS AT CAPE TOWN INTERNATIONAL AIRPORT
5-2-1(2025-2026)22,APPOINTMENT OF A SERVICE PROVIDER TO PRINT FOR AD HOC DESIGN AND LAYOUT.
RFQ017-2026,THE APPOINTMENT OF INDEPENDENT EXTERNAL QUALITY ASSURANCE ASSESSOR TO CONDUCT FOLLOW UP QUALITY ASSURANCE REVIEW
RFP 42/2025,PROVISION OF ARMED RESPONSE SECURITY AND ALARM MONITORING SERVICES FOR GAUTENG INCLUDING WITBANK AND STANDERTON ON A NON-EXCLUSIVE BASIS.
10048275,"CERTIFICATION BODY
FOR A CYCLE OF THREE (3) YEARS"
CGE/T/14/2025/26,Provision of office accommodation for the Kwazulu Natal Province(Durban)
AME-72,SUPPLY AND DELIVERY OF BOARDROOM CHAIRS AT MTHATHA DAM CONSTRUCTION EAST OFFICES IN EASTERN CAPE PROVINCE.
RFQ45 2025-2026,APPOINTMENT OF A SERVICE PROVIDER TO PROVIDE CATERING SERVICES FOR NFVF STAFF ATTENDING A ROADSHOW IN PIETERMARITZBURG.
EDET/QUOTE 0466,"DESIGN, MANUFACTURE AND INSTALLATION OF SIGNAGES AT MPHAPHULI CYCAD, WOLKBERG, BLOUBERG, LEKGALAMEETSE NATURE RESERVES AND MAKGABENG ROCK"
UE50,"Supply, service of fire extinguishers at Midmar dam access roads project"
TCC/2026/02/0001/113395/RFQ,"The Request for Qualification RFQ is issued to identify and pre-qualify respondents with the requisite technical, financial, legal, and operational capability to participate in the next stage of the transaction."
Q33-2025,"PROVISION FOR THE TRANSPORTATION OF
DANGEROUS GOODS TRAINING FOR ROADS
DEPARTMENT EMPLOYEES"
EDET/QUOTE 0218 B,"APPOINTMENT OF AN ACCREDITED BBBEE VERIFICATION AGENCY TO CONDUCT ASSESSMENT, VERIFY AND VALIDATE THE BBBEE SCORE CARDS FOR 2025/2026 FINANCIAL YEAR"
E2576GXLPMAT,"SUPPLY AND DELIVERY OF TRANSMITTERS AND ASSOCIATED EQUIPMENT TO MATIMBA POWER STATION ON AS AND WHEN REQUIRED BASIS FOR A PERIOD
OF FIVE (5) YEAR."
E0726SSERI,SUPPLY & DELIVERY OF MEDICINES AND CONSUMABLES FOR ESKOM ROTEK INDUSTRIES SOC LIMITED FOR A PERIOD OF FIVE (5) YEARS.
IEC/ICT-01/2026,Reverse Data Billing Services
NRWDI/FAC/2025-05,SUPPLY AND DELIVERY OF AN INDUSTRIAL VACCUM CLEANER
MDM 2025/26-22,Ritavi 2 Water Scheme Sub Scheme Contract 001 (24 Months contract).
MDM 2025/26-26,Ritavi 2 Water Scheme Sub Scheme Contract 002 (24 Months contract).
API012509RFQ00000052,Request quotation for projector/ equivalent specification is accepted
2026/060,"UMSHWATHI BULK WATER SUPPLY SCHEME PHASE 4: CONSTRUCTION OF 57 KM LONG DN 100 to DN 600 STEEL PIPELINE, 7 CONCRETE RESERVOIRS AND 4 BREAK PRESSURE TANKS."
RFQ/SASSETA/2425135/5-3,Appointment of a service provider to moderate developed EISA instruments for registered occupational qualifications (OC: Security Officer and 3x part-qualifications 86 Credits)
SCM/MOH/20/RFQ/2026,SUPPLY AND DELIVERY OF 11KV 100KVA TRANSFORMER
SCM/MOH/21/RFQ/2026,SUPPLY AND DELIVERY OF CALIBRATION SOLUTIONS
SCM/MOH/22/RFQ/2026,MAINATENANCE OF 500KVA TRANASFORMER
MHSC 027/2025-26,"Supply and Installation of Acoustics, Glazing, Signage and Wallpaper the Renovation of the MHSC Offices"
RFQJW037TN26,RFQJW037TN26 - SHE REP (RE-ADVERT)
RFQJW038TN26,RFQJW038TN26 - FORKLIFT (RE-ADVERT)
ZNB002590/00000/00/PMC/GEN/24/T,"SUPPLY AND DELIVERY OF OFFICE FURNITURE FOR AREA OFFICES UMSHWATHI, MPUMALANGA AND COST CENTRE PMB"
ZNTM01260,Department of Education: Woodlands Primary School: New Construction of Woodlands Primary School (Replacement Infrastructure) – Completion Contract
HES-CORP 03/2526,THE MAINTENANCE OF THE ELEVATOR AT RIVERSDALE CIVIC CENTRE FOR A PERIOD OF THREE (3) YEARS
PPP01/2024-25 Addendum,ADDENDUM TO RFP No. PPP01/2024-25 IN RESPECT OF CHARTERS CREEK TOURISM RESORT IN THE WESTERN SHORES SECTION OF THE iSIMANGALISO WETLAND PARK
C03/2026,REQUEST FOR PROPOSALS (RFP) FOR ENERGY PERFORMANCE ASSESSMENTS AND ISSUING OF ENERGY PERFORMANCE CERTIFICATES (EPC’S) FOR ALL BUILDINGS AT ORBIT TVET COLLEGE (FOUR SITES) ONCE OFF.
RFQ/VDM/TECH/09/02/2026/10,REQUEST FOR THE APPOINTMENT OF SERVICE PROVIDER TO PURCHASE NOZZLES FOR JETTING TRUCK
RQF/VDM/CORP/04/02/2026/08,REQUEST FOR ELECTRICAL EQUIPMENT SPARES
RFQ/VDM/TECH/04/02/2026/01,REQUEST FOR THE APPOINTMENT OF SERVICE PROVIDER FOR PROCUREMENT OF WORKING TOOLS FOR EPWPS
RFQ/VDM/CORP/04/02/2026/02,"REQUEST FOR PROCUREMENT OF CYLINDER LOCKS, PANEL DOORS, INSIDE DOORS, PAD LOCKS AND BOLTSHOOTER"
SCMP 29/08/02R,Supply and Delivery of Kitchen mixing machine/ Kitchen aid
Znq 127/25/26...,"SITA Accredited service providers on RFB 740 transversal contract are hereby invited to procure and install visual equipment for the Office of the MEC King Cetshwayo Highway, Mayville 4001Department of Public Works & Infrastructure"
E2486GXMPCAM0,"Names of Bidders / Tenderers.    

THE PROVISION OF 24-HOUR EMERGENCY SPILL RESPONSE FOR PERIOD OF 48 MONTHS AT CAMDEN POWER STATION."
AHT26621,"SUPPLY AND DELIVERY OF HFRR (HIGH- FREQUENCY RECIPROCATING RIG) WEAR SCAR INSTRUMENT TO PetroSA REFINERY IN MOSSEL BAY, WESTERN CAPE."
E2553DXNCOU,SERVICING BACKUP GENERATORS IN THE NORTHERN CAPE OPERATING UNIT FOR A PERIOD OF 3 YEARS
